name	181004-190521_Brain_S35	32150116_EXO_S31	32150161_EXO_S32	32150704_EXO_S33	32150978_EXO_S34	32160284_EXO_S1	32160340_EXO_S2	32160373_EXO_S3	32160612_EXO_S4	32160622_EXO_S5	32160628_EXO_S6	32160670_EXO_S7	32160765_EXO_S8	32160965_EXO_S9	32161004_EXO_S10	32161013_EXO_S11	32161045_EXO_S12	32161046_EXO_S13	32161065_EXO_S14	32161104_EXO_S15	32161237_EXO_S16	32161245_EXO_S17	32161253_EXO_S18	32161392_EXO_S19	32170016_EXO_S20	32170083_EXO_S21	32170268_EXO_S22	32170269_EXO_S23	32170272_EXO_S24	32170383_EXO_S25	32170385_EXO_S26	32170409_EXO_S27	32170434_EXO_S28	32170450_EXO_S29	32170652_EXO_S30
hsa-miR-100-3p	30																								7						3				
hsa-miR-100-5p	277039	7305	2570	1718	181	710	3768	157	316	6331	3116	3	612	2374	4247	4112	3804	195	2339	1186	5379	5730	3780	344	8163	3232	686	813	6412	2880	2754	775	3233	4006	10515
hsa-miR-101-3p	101508	5723	1013	4212	122	462	2813	250	1022	5768	2951	128	545	1486	4260	2379	4510	281	4120	1262	5813	4015	4044	785	8923	2794	659	422	5386	2442	1804	707	4759	2710	6168
hsa-miR-101-5p	20																					16													
hsa-miR-10392-5p																															5				
hsa-miR-10394-3p	29																												10						
hsa-miR-10395-3p	79		13																								3			7					
hsa-miR-10396a-3p									19																										
hsa-miR-10396b-3p									19																										
hsa-miR-10397-3p				1																					1		1								
hsa-miR-10397-5p	25																																		
hsa-miR-10398-3p																																7			
hsa-miR-10398-5p	23																																		
hsa-miR-10399-3p	30			68			49			16			7		53	14	7		2				30	11	28	15	2		24	6	6				166
hsa-miR-10399-5p	46	19								32				9	81		33					20	9		2			10	22	38			5	6	
hsa-miR-103a-2-5p	34																				23				3	5							8		
hsa-miR-103a-3p	288424	5335	1387	3382	88	394	3148	217	842	5333	1235	54	512	1708	3567	2502	5828	439	4081	952	6003	4838	3827	579	7578	2719	604	718	5245	2372	1872	308	7305	3569	8632
hsa-miR-10400-5p	17													1									1												
hsa-miR-10401-3p	40		5		21					5				12						2						19	3			9	10	8	6	1	
hsa-miR-10401-5p																					11														
hsa-miR-105-5p	663																													12				1	
hsa-miR-10522-5p	16																																		
hsa-miR-10523-5p																	1																		
hsa-miR-10527-5p	235	25	17	100			49		6	16				9		49	17			8	40		4	5	40	13	5		15		12		46	19	71
hsa-miR-106a-3p	27	10								14						30						14			8	11			16		2	3	1	19	62
hsa-miR-106a-5p	348	60		22		1	11		12	25	20			3	26	17	37		44	1	83	12	61		69	32	9	14	49	5	14		18	38	61
hsa-miR-106b-3p	3072	368	51	267		37	159	32	68	240	147	1	36	51	351	227	329	4	292	113	395	294	215	27	342	97	32	26	201	69	138	14	314	249	429
hsa-miR-106b-5p	4441	449	135	130		35	60	22	27	399	93		12	138	141	183	220	7	267	84	143	369	287	50	496	203	52	58	234	160	168	30	342	147	329
hsa-miR-107	11055	215	106	85	1	12	190	51	88	150	116	47	55	151	257	186	222	49	93	43	465	251	165	17	462	151	26	33	332	138	88	3	261	185	163
hsa-miR-10a-3p		917	104	1018		95	536	40	148	852	245		100	210	640	505	917	109	313	52	949	500	929	170	906	242	75	56	833	499	189	112	880	700	943
hsa-miR-10a-5p	870	264836	35013	213928	4012	29622	155154	9188	39778	181674	57841	1075	27606	56391	228341	150715	235720	20967	85058	19262	165244	80457	191703	19306	170604	44583	19711	8384	188971	94898	47758	12963	154764	156636	397791
hsa-miR-10b-3p		554	110	369		69	376	14	52	605	85		28	190	341	436	620	42	109	72	582	183	256	41	686	159	38	26	464	284	85	7	412	343	847
hsa-miR-10b-5p	922	292109	52811	268774	4071	28508	175411	9414	40395	204613	73079	1195	28230	77193	257564	142678	251144	18273	75791	24353	177446	94350	174977	19073	217619	59918	21816	12722	230249	95206	46530	13600	176708	139447	491890
hsa-miR-11181-5p								5																											
hsa-miR-1178-3p	19																																		
hsa-miR-1179	452						1			16													24						10		8			14	
hsa-miR-1180-3p	11463	505	122	460	1	26	220	11	41	471	72		15	91	261	209	307	56	105	38	246	261	394	46	750	80	17	49	500	120	96	27	318	262	897
hsa-miR-1180-5p	28									22																						8		3	
hsa-miR-1181									13																										
hsa-miR-1185-1-3p	96																																		
hsa-miR-1185-2-3p	18																																		
hsa-miR-1185-5p	94																																		
hsa-miR-1197	175																																		
hsa-miR-1199-3p																											9								
hsa-miR-1199-5p																															1				
hsa-miR-1200																									4										
hsa-miR-1203						1																													1
hsa-miR-12121																								1											
hsa-miR-12125		21	24																				8		7									8	13
hsa-miR-12128											1																								
hsa-miR-12135	17																															1			
hsa-miR-12136	1331																													11					
hsa-miR-122-3p				1													1																		
hsa-miR-122-5p	141	11	1163	384	527	1	21			1	1		12	1	5	31	3	2	2	1		1		10	2						1				40
hsa-miR-1224-3p	34																																		
hsa-miR-1224-5p	1389		14																											5					
hsa-miR-1225-5p	45																																		
hsa-miR-1226-3p	362	7								4						7						15											8		
hsa-miR-1226-5p		6												11								13													
hsa-miR-1228-3p	139	6																																	
hsa-miR-1228-5p	65		8																1																
hsa-miR-1229-3p	224						9				32				60	5						5	18		7			2		16					
hsa-miR-1229-5p																														1					31
hsa-miR-122b-5p																					23				12	9									15
hsa-miR-1231	26																																		
hsa-miR-1234-3p																	13																		
hsa-miR-1236-5p																							16												
hsa-miR-1237-3p										20																									
hsa-miR-124-3p	407382	29	25		6		9		1	6	2		2			14	1	1	4		21	20	12	7	23		19	1	28		1		18	3	2
hsa-miR-124-5p	1426																																		
hsa-miR-1243	98																																		
hsa-miR-1244									1						1																				
hsa-miR-1245b-3p																									6										
hsa-miR-1246						109						248	1		79	28	29							12	7	29							17	17	21
hsa-miR-1247-5p	723														14										7										
hsa-miR-1248	32																																		
hsa-miR-1249-3p	4363		7	22	4					26					24	28	15		21	23	40	20	25	3	18		4	6	40		18		12	27	
hsa-miR-1250-5p	813																														3			1	
hsa-miR-1251-5p	44		8							18															14				14						
hsa-miR-1252-5p	20																																		
hsa-miR-1255a	73									8															6										
hsa-miR-1256	19																																		
hsa-miR-1258	226																18																		
hsa-miR-125a-3p	781	217	16	124			81		7	203	67		53	91	194	233	97	11	82	19	155	37	244	51	162	38	49	24	226	32	34	7	107	61	83
hsa-miR-125a-5p	641782	53763	15005	77638	1186	6496	25952	1563	8508	54843	14707	363	5927	18932	53456	43356	56522	5741	14227	4663	45729	17485	37095	4810	50271	12433	3914	3617	50166	25012	10583	3269	44589	37965	83753
hsa-miR-125b-1-3p	4604	12	29				1			45	32				69	46	12			20	44	11			7				5			1	20		
hsa-miR-125b-2-3p	26360	752	119	507	1	43	464	25	91	494	68		82	157	507	382	617	54	172	116	609	496	552	36	649	158	119	171	688	221	95	47	337	430	923
hsa-miR-125b-5p	745606	11361	2725	9489	375	872	5426	244	1322	8339	3292	251	1279	2549	8120	6503	7280	1024	1599	821	9003	4468	8720	940	12345	2904	1048	1165	9791	4110	1789	685	6999	7483	14373
hsa-miR-126-3p	125583	62	771		10		69			41		18		7	1630		54		74	11	405	27	24		2179	45	4		44	55	16		70	56	65
hsa-miR-126-5p	11878	33	171										20		161		1		1		46	14	17		359	19			22	6	12			12	
hsa-miR-1260a	2955	968	784	891	62	76	521	9	81	1252	458		127	320	1175	913	1822	69	467	68	1105	773	1059	80	980	399	123	269	774	607	348	147	2399	477	1972
hsa-miR-1260b	2746	862	703	796	62	76	528	9	81	1161	467		99	265	1083	969	1899	69	428	78	1039	730	972	49	924	497	135	286	716	553	364	130	2544	467	1889
hsa-miR-1261	14		1							1							21				30				6				13						
hsa-miR-1262	28						7				15		10				11		29	9				5	11								7		
hsa-miR-1263			12																						6										
hsa-miR-1264	14																																		
hsa-miR-1266-5p		10														51	15		7		24				6				14		4				
hsa-miR-1267	43																																		
hsa-miR-1268b	10																								4						3		12		
hsa-miR-1269a	48	37	15							131				12	119	81		1	18	18		16	17		111	10			13		29				
hsa-miR-1269b						18				115				8													6				26			4	21
hsa-miR-127-3p	30596		17	77	1					57	5		1	27	70	21		14			17	87	14	4	14		19		26		12		35	21	
hsa-miR-127-5p	3203																																	6	
hsa-miR-1270	194	15	38			11	29			16	24				53	25	17				15	18	28		59	34			9	2		15	38	15	32
hsa-miR-1271-5p	872	14			8		15			8						24	4		13		1	20			27	25			59		32		33	47	24
hsa-miR-1273c		9											19																						
hsa-miR-1273h-3p	186																																		
hsa-miR-1275	241														1		18								5	5		27			13				29
hsa-miR-1276	17													5											12					1					
hsa-miR-1277-3p																							7												
hsa-miR-1278																									6										
hsa-miR-128-1-5p	1702	13						13									9				19										4				
hsa-miR-128-2-5p	268																																		
hsa-miR-128-3p	1704035	2101	525	1574	132	224	719	15	119	1574	655	35	108	483	1280	1099	1642	100	655	423	1401	1160	1584	123	2598	494	245	198	1728	884	332	95	1329	1235	3385
hsa-miR-1283	32									12																									14
hsa-miR-1284	17	6															6																15	10	27
hsa-miR-1286	25																																		
hsa-miR-1287-3p	12																						6												
hsa-miR-1287-5p	204																					15			4			11			7				
hsa-miR-129-1-3p	3403		7				13			20							16								10	4			15	10			12	4	26
hsa-miR-129-2-3p	2865			1															1		1														
hsa-miR-129-5p	98669	13	11		2		55		7	64		1	1	49	29	31	30		30	15	14		27		21	20	13		24	11	5	5	26	18	128
hsa-miR-1290						1																											1		
hsa-miR-1291	116																																		
hsa-miR-1292-5p	171									16	8					13			14				15		1	14	18		30						30
hsa-miR-1293																11																			
hsa-miR-1294	32																																	5	
hsa-miR-1295a																				1			8												
hsa-miR-1296-5p	899						13			5						17	28			1		59	10	2	40	5	6	1	19	50	8		34	9	86
hsa-miR-1297	18																																		
hsa-miR-1298-3p	523																																		
hsa-miR-1298-5p	243																																		
hsa-miR-1301-3p	15787	183	59	146		33	27		26	199	40		11	68	79	114	187	23	21	13	61	171	161	21	268	33	7	14	140	65	41	14	115	135	141
hsa-miR-1303	39																	7														18			
hsa-miR-1304-3p	63	39					6			17	52			2									23	7	5	5			14		13		3	9	36
hsa-miR-1304-5p	31									10											38		5						18						
hsa-miR-1306-3p	424																					5	3				17							8	13
hsa-miR-1306-5p	927	92	37				51		34	90	46		21	23	20	62	40				86		60		35	25	6		6		7		21	9	68
hsa-miR-1307-3p	893	134	60	92	6	20	80	14	44	214	88		7	95	66	64	196	29	229	141	196	163	268	26	221	53	15	96	130	100	96	33	148	73	384
hsa-miR-1307-5p	544	42	1	64			44			18	37		26	15		43	48		70	13	125	24	20	11	65	42		19	47	18	24	7	52	3	27
hsa-miR-130a-3p	696	46	15	49	10		42		19	35	29	33			44	10	65				33	28	11	8	57	24			77	10	19	6	22	13	
hsa-miR-130a-5p		1						12																	16										
hsa-miR-130b-3p	777	11		22						8							9			6			1		6	9	8	1					10		
hsa-miR-130b-5p	2756	260	85	125	12	1	105		36	126	33		14	37	18	31	225	10	160	48	124	66	151		129	151	21		169	139	41	12	113	83	630
hsa-miR-132-3p	75098	110	76	96		26	72	16	22	156		23	24	4	220	23	142	15	80	52	55	58	224	23	202	62	36	30	195	123	58	15	148	136	217
hsa-miR-132-5p	18910	1					1			16				7		39					1				7	5	2		5	17	4		4	11	14
hsa-miR-1323	23					29	6	15											18						7										
hsa-miR-133a-3p	623					3	1		4			9		17			22								20								5		17
hsa-miR-133a-5p	19																																		
hsa-miR-133b	2																7																		
hsa-miR-134-5p	5194	3								19				20			9				1	9		10	5				1				13		
hsa-miR-1343-3p	313		21													15									7								8	5	37
hsa-miR-1343-5p	14																																		
hsa-miR-135a-2-3p	730	121	117	86			12	22	17	137	96	29		72	87	45	82		45	51	151	107	182	25	317	75	34	113	197	83	24	15	40	30	636
hsa-miR-135a-3p	19	17																																	
hsa-miR-135a-5p	9516	261	188	190	1	27	9	5		575	321	1		182	246	308	105		219	139	246	271	216	21	955	188	56	139	657	78	92	36	82	103	949
hsa-miR-135b-3p	24													2																					
hsa-miR-135b-5p	512	533	170	1225	17	195	677	100	315	1248	97	1	135	345	1110	526	657	94	337	141	698	818	535	218	1271	179	195	57	1055	922	279	23	617	1078	1190
hsa-miR-136-3p	10840									12					22							24			15		6		10						20
hsa-miR-136-5p	1149										45																						14		
hsa-miR-137-3p	4297																																		
hsa-miR-137-5p	130																																		
hsa-miR-138-1-3p	416	20					17			6															7				14				5	7	
hsa-miR-138-2-3p	1017	18								13											23				5				2		8				
hsa-miR-138-5p	4961	8		3				16	13	9											11		48	6	7	19	1		11		12		9	2	
hsa-miR-139-3p	10168		26												40										14		1							4	
hsa-miR-139-5p	108918	110	56		1		3			11				11	36	21	16	1			5		40		108	18	4	3	17		7		13	37	80
hsa-miR-140-3p	36376	1773	337	865	21	103	772	25	111	789	306	91	85	412	1180	898	1439	73	1846	552	1111	1541	1853	92	2505	631	96	194	1727	535	434	80	1205	1155	3224
hsa-miR-140-5p	3018	109	54	169			31	15	23	136	87			29			49	6	104	50	57	66	77	8	164	44		16	67	31	4	3	41	32	19
hsa-miR-141-3p	9	1962	498	2464	98	269	1416	138	409	3299	670	36	278	762	2974	1059	2275	223	2353	549	2090	1218	1296	239	2098	933	635	264	2043	1276	695	166	1942	1931	3324
hsa-miR-141-5p			11								21						27		2						7	11					12	13	10	34	39
hsa-miR-142-3p	432	37	143				10							5	28	1			513	28	16		743		47	229	53		31	8				20	
hsa-miR-142-5p	1395	24	79	17		30		1	2	44	13			39	14		4		809	23	24		689	7	27	305	2	8	18	17				5	
hsa-miR-143-3p	863501	167	1567	19	44	2	22	51	78	330	2	2	2	451	505	2	18	2	5257	191	655	95	5286	2	2179	1650	99	22	286	47	6		18	156	47
hsa-miR-143-5p	164																																		
hsa-miR-144-3p	381																			17					48										
hsa-miR-144-5p	1968									8															38					15					
hsa-miR-145-3p	6901		2								42								34				20		21	5					1		3	1	1
hsa-miR-145-5p	10484	5	8			1	3							6				1	79	10		24	33		35	15	3		1						
hsa-miR-1468-5p	315	123	17	113	1	33	72		23	106	19		10	42	76	34	96			6	54	29	80		75	3			46	37	17		15	53	62
hsa-miR-146a-3p	30									1										28			16												
hsa-miR-146a-5p	11575	246	429	140	1	64	44	24	28	517	77	65		697	312	98	158	2	6499	2135	128	245	2993	39	514	182	405	85	456	135	80	22	120	309	220
hsa-miR-146b-3p	1343									22							19	8	35		29		11		10					22	6		13	14	35
hsa-miR-146b-5p	82597	1347	639	865	44	43	437	47	101	1643	392	3	94	542	648	767	616	18	629	206	770	456	1202	159	1828	416	140	191	1781	310	299	73	510	755	1145
hsa-miR-147b-3p	18																										7								
hsa-miR-147b-5p	32																								3										33
hsa-miR-148a-3p	5072	5551	1368	3840	112	1016	4061	513	1269	5212	1425	174	298	1653	4688	4369	5614	393	3569	1129	6075	7787	3328	396	4848	1852	1110	1310	6557	2910	1915	296	4845	4558	12498
hsa-miR-148a-5p	42	7	18		14		43	12	6	9				17		26	47	3	15		74	33	66		88	27	5	14	25	29	17		58	25	121
hsa-miR-148b-3p	19550	638	291	334	1	59	281	18	118	765	129	1	54	262	396	127	726	24	655	278	764	1114	274	41	552	388	72	105	644	296	327	69	744	436	1277
hsa-miR-148b-5p	174	37		94			21			30							27		36				14		23	32			19	20			25	20	18
hsa-miR-149-3p	83	15									20				24					1		26			6	14	12	17		6			42		61
hsa-miR-149-5p	37506	453	61	162	1		243	27	100	270	218		24	148	52	245	284	29	178	148	422	593	155	21	468	128	77	264	370	282	205	30	816	432	715
hsa-miR-150-3p	11																																		
hsa-miR-150-5p	3556	10					1				16				54	4	9	3	108		1	2	35		12	21		7						8	
hsa-miR-151a-3p	76778	6068	1687	6176	274	744	5929	287	1057	7221	2074	79	618	2018	7096	4389	7572	385	6741	1576	5095	4611	3466	600	6286	1921	799	622	6479	2661	1812	349	5943	4606	13184
hsa-miR-151a-5p	187699	6504	1609	6492	108	581	3642	313	847	8680	1438	32	574	1997	5595	4588	6170	541	4620	1448	5882	5203	5615	790	10092	2721	885	740	8409	3309	2578	389	8208	7049	7700
hsa-miR-151b	10935	425	146	434	25	49	218	39	21	437	94	3	125	171	371	326	349	41	235	60	300	267	368	42	662	159	54	54	547	263	166	42	484	381	493
hsa-miR-152-3p	4759	423	236	387		100	498	35	131	281	64		21	178	642	349	527	30	286	99	672	641	274	55	680	280	84	78	1095	366	101	20	485	371	774
hsa-miR-153-3p	1884		14		3	32			12			40				21		20	31		22	12		1	5	7			7	32	4				
hsa-miR-153-5p	151																																		
hsa-miR-1538	33																												7						
hsa-miR-154-3p	1413																								4										
hsa-miR-154-5p	51																																		
hsa-miR-155-5p	2273	65	203	56	13		16			143	69	24	24	48	267	10	31		267	41	30	37	60	26	248	23	20	30	40		7		3	25	367
hsa-miR-15a-5p	3999	117	36	52	13		28	1	4	159	42		1	18	63	18	22	6	118	73	26	53	141	10	79	40	19		97	34	2		73	47	181
hsa-miR-15b-3p	248	23	4	11		14	51		3	43	35			5			87	19	22		69	9	13	1	24				66	23	28	3	38	57	82
hsa-miR-15b-5p	5552	500	93	480	26	24	339	49	108	414	86	48	54	213	402	207	531	14	486	72	279	496	430	14	678	226	22	63	523	312	223	14	539	411	728
hsa-miR-16-1-3p								18																											
hsa-miR-16-2-3p	1153	409	12	102		24	145	1	181	309	51		32	77	384	216	267	36	91	49	131	84	265	21	389	188	56		396	121	127	8	223	337	400
hsa-miR-16-5p	70088	1625	501	1169	20	128	852	65	257	1840	364	45	253	613	1659	531	1577	114	1654	383	1337	1093	1589	129	2279	864	221	108	2102	681	449	54	1395	1666	1620
hsa-miR-17-3p	51	10																					10	7	5	3									
hsa-miR-17-5p	1821	241	24	170	10		181		30	157	188		10	21	126	66	234	22	165	30	178	182	155	6	277	93	23	36	185	59	90	3	240	97	201
hsa-miR-181a-2-3p	6256	689	158	442			311		39	565	183		97	173	949	374	567	9	93	32	676	323	207	48	939	168	48	66	499	341	90	6	634	584	1436
hsa-miR-181a-3p	2714	11								32	55				35	78	46		19	1	16	16	9		41	5		4	37	19	7		31	6	
hsa-miR-181a-5p	639353	2015	827	1924	60	191	1095	77	355	3163	806	43	158	1034	1922	1585	2091	134	1383	400	2398	2007	1586	191	3646	1086	233	227	2796	1294	879	181	2732	1908	3638
hsa-miR-181b-2-3p	134																			15					5								25	20	
hsa-miR-181b-3p	424																																		
hsa-miR-181b-5p	181929	613	170	430	2	74	437	18	78	965	172	1	47	201	803	669	500	37	336	133	571	519	447	112	1131	294	47	130	878	357	171	17	706	681	1315
hsa-miR-181c-3p	1116												15											11					4		3		13		
hsa-miR-181c-5p	4802	15		35			41			40					21	9	40		8			28	13		12		15	3	28	25	6		25	35	13
hsa-miR-181d-3p				29																															
hsa-miR-181d-5p	4308	33	35	159			46			34	1			5	28	14	30			12	10	61	3		47	15		10	32	21	14		26	38	57
hsa-miR-182-5p	1636	8633	1248	3854	226	1514	7227	730	1989	10767	2003	6	2002	2695	8909	3591	10231	759	2597	851	4706	3541	7241	592	5353	1836	1062	545	6764	5987	2051	468	5028	6629	15747
hsa-miR-1827	18	1		1							1			1	1								1		1					1				2	
hsa-miR-183-3p		23									3				25		6				39		4		4	19			3	34					84
hsa-miR-183-5p	862	4579	534	2175	127	609	3284	292	990	5367	1163	138	854	1111	3715	2436	5357	246	1426	418	2203	1533	3268	137	2730	796	558	351	3302	2324	908	209	2572	3662	8180
hsa-miR-184	1644	251	1275	420	945	475	605	311	763	139	125	771	426	121	244	247	91	889	319	756	143	450	123	505	423	393	48	116	990	382	371	186	166	164	956
hsa-miR-1843	1646	59	19						6	12	23		23	27	17		39			19		26	20		29	3					20		68	3	
hsa-miR-185-3p	333	20																	14						12				25				15		
hsa-miR-185-5p	15713	363	92	247	21	48	259	11	17	421	137	1	17	89	88	158	407	15	203	46	268	230	273	62	571	194	24	75	256	75	91	55	325	225	403
hsa-miR-186-3p																															2				
hsa-miR-186-5p	24428	1734	546	1676	53	173	1563	78	187	1444	721	49	235	628	1094	1195	1757	70	1132	529	1836	1677	2185	195	2534	828	204	207	2402	914	876	131	1787	2080	1526
hsa-miR-187-3p	199	73					134			10				1	10	7	91		47	7	157	82	210	12		4			51	14	16	9	68	67	24
hsa-miR-187-5p	16	44					45	7		12					1		34				34	9	107	8					26	6	4		17	13	129
hsa-miR-188-3p																							12												
hsa-miR-188-5p	25	14		23						51				6	26		15				18		9		20					15			22	5	
hsa-miR-18a-3p	88			44		15			9	25				10	28	12	11		32		34		15		7	12			4	19	3	19	13	7	79
hsa-miR-18a-5p	253	17	14				29				17			11		15	23			34		8	67		35		3	1					8		50
hsa-miR-18b-3p										14									1																
hsa-miR-18b-5p	24		1																														5		
hsa-miR-1908-3p	16																					10			12										
hsa-miR-1908-5p	490		1																							4									
hsa-miR-1909-3p	7																																		
hsa-miR-1909-5p	70																																		
hsa-miR-190a-3p							7																			8				8				6	
hsa-miR-190a-5p	954	74	63	102	16		16	14	48	231	64	25	27	33	63	120	96	13	46	41	129	82	87	11	167	18	15		182	108	76		32	76	138
hsa-miR-190b-5p				2						21													21		22				9				10		
hsa-miR-191-3p	285			54						7	30			26						19	29	25	9		10	12					10		23	28	141
hsa-miR-191-5p	171502	13186	4223	11137	315	1252	6145	508	1440	12826	3849	170	1172	4007	10156	8399	11513	846	10380	3440	9397	7487	15633	1221	13502	6623	1350	1435	11475	6043	4704	944	15133	11692	17483
hsa-miR-1910-3p	12																																		
hsa-miR-1910-5p	40																																		
hsa-miR-1912-3p	136																																		
hsa-miR-1912-5p	8																																		
hsa-miR-1913	10			21																															
hsa-miR-1914-3p	17																																		
hsa-miR-1914-5p																24																			
hsa-miR-1915-3p												28								1				5	8	5			21						
hsa-miR-192-3p																36									4				12		6				
hsa-miR-192-5p	1523	4507	2734	2493	58	195	693	55	115	6626	1903	353	68	1949	3604	2358	1753	72	2627	1887	2761	3051	3333	284	8718	2406	462	849	8943	1098	1859	341	1005	1889	3484
hsa-miR-193a-3p																						32			12					15					43
hsa-miR-193a-5p	1749	384	177	664	22	74	301	8	70	752	118	41	94	97	666	330	365	51	86	87	437	118	243	109	570	90	73	59	311	187	84	7	285	348	1322
hsa-miR-193b-3p	306	46	28	54		25	70		3	49	57	51		17	150	31	54	6	50			177	32		63	11		14	92	25	26	10	79	81	66
hsa-miR-193b-5p	322	94		36		7	18			83	14		1	35	61	37	69		22		106	31	52	26	50	34	5		32	7	7		49	20	68
hsa-miR-194-3p	42	77	78							82	52			20	36	24	31		120	20	61	37	52	10	130	8	14		101				18	15	127
hsa-miR-194-5p	1602	2980	1971	1876	5	75	445	25	76	5275	1638	265	42	969	1849	1602	1303	57	2133	1135	1696	2197	1720	163	5773	1841	354	414	5727	1106	1066	245	938	1049	2373
hsa-miR-195-3p	370	5								7				6								21													
hsa-miR-195-5p	11952	34	26	41			1		1	15			21				7		20	8	94	36	31		50		9		31				22	17	142
hsa-miR-196a-1-3p															8	26								17									7	10	
hsa-miR-196a-3p																									15										
hsa-miR-196a-5p		2153	654	1306	57	65	551	8	19	1627	888	44	87	537	931	625	943	52	424	137	641	471	1509	100	2237	585	108	69	2195	318	327	44	1088	733	1900
hsa-miR-196b-5p		533	122	230		12	362			406	342		1	222	519	313	477		237	101	581	283	202	27	678	245	66	127	499	141	118	11	262	225	887
hsa-miR-197-3p	13576	592	230	319	1	11	74	17	83	425	232	1	81	132	362	217	488	21	208	89	279	220	414	38	501	187	44	45	351	140	174	29	428	325	694
hsa-miR-199a-3p	6244	52	43	43		2			32				12	16	196		15		39	9	52		94		302	68	10		24		17		11	8	1
hsa-miR-199a-5p	539		4																				2		18	4									
hsa-miR-199b-3p	6233	52	43	43		2			32				12	16	196		15		39	9	52		94		302	68	10		24		17		11	8	1
hsa-miR-199b-5p	115		18													1			12	11		19	71			25				16				4	
hsa-miR-19a-3p	123	47		14						21			24	5	18	6	15		42	19	38	39	47		38	22	25		47	18	18	3	5	30	
hsa-miR-19b-3p	1175	149	32	84			116		55	146	67		36	72	90	99	263	14	79	52	246	501	150	15	196	73	20	24	270	64	83		172	110	224
