name	unique reads 181023-190319_Brain_S29	181023-190319_Brain_S29	read count (mult. map. adj.)	181023-190319_Brain_S29181023-190319_Brain_S29(lib)	RPM (total)	coordinateString 181023-190319_Brain_S29	181023-190319_Brain_S29 (lib)	RPM_adj (total)
hsa-mir-181a-2	1279.0	395729.0	200714.25	15338.367814935396	14676.526106855155	9:hsa;hsa-mir-181a-2,124692442,124692551,+	7779.6395821354945	7443.95262955925
hsa-mir-181a-1	1211.0	392601.0	197566.75	15217.12723230153	14560.516985304188	1:hsa;hsa-mir-181a-1,198859044,198859153,-	7657.643183849017	7327.2203053643425
hsa-mir-219a-2	1067.0	375219.0	375096.5	14543.404787499134	13915.865274690723	9:hsa;hsa-mir-219a-2,128392618,128392714,-	14538.656714809667	13911.322078594178
hsa-mir-92a-1	1208.0	363735.0	192088.83333333334	14098.287507778117	13489.954548382757	13:hsa;hsa-mir-92a-1,91351314,91351391,+	7445.320355112943	7124.059083999443
hsa-mir-124-2	1170.0	352336.0	117555.16666666623	13656.464809106934	13067.19624385607	8:hsa;hsa-mir-124-2,64379149,64379257,+	4556.412051882374	4359.805504724283
hsa-mir-124-1	1163.0	352176.0	117395.16666666623	13650.263244777836	13061.262273444254	8:hsa;hsa-mir-124-1,9903388,9903472,-	4550.210487553275	4353.8715343124695
hsa-mir-124-3	1162.0	352151.0	117370.16666666623	13649.294250351415	13060.335090567409	20:hsa;hsa-mir-124-3,63178500,63178586,+	4549.241493126854	4352.9443514356235
hsa-mir-27b	878.0	352128.0	351432.0	13648.402775479108	13059.48208232071	9:hsa;hsa-mir-27b,95085445,95085541,+	13621.42597064753	13033.669311029318
hsa-mir-7-2	942.0	346770.0	123086.6666666653	13440.727890008435	12860.768248155082	15:hsa;hsa-mir-7-2,88611825,88611934,+	4770.811758672376	4564.953988055188
hsa-mir-92a-2	1054.0	345485.0	173838.83333333334	13390.921576490366	12813.1110482852	X:hsa;hsa-mir-92a-2,134169538,134169612,-	6737.95442382519	6447.215583901885
hsa-mir-7-1	901.0	337756.0	113951.6666666653	13091.347259617869	12526.4631900795	9:hsa;hsa-mir-7-1,83969748,83969857,-	4416.741195257931	4226.161364855671
hsa-mir-7-3	866.0	336355.0	112550.6666666653	13037.044811961205	12474.50386166105	19:hsa;hsa-mir-7-3,4770670,4770779,+	4362.438747601266	4174.202036437223
hsa-mir-100	914.0	335674.0	335403.0	13010.64940378548	12449.247400095766	11:hsa;hsa-mir-100,122152229,122152308,-	13000.14550420307	12439.196737710756
hsa-mir-98	654.0	294074.0	290801.4833333335	11398.242678219973	10906.415093024072	X:hsa;hsa-mir-98,53556223,53556341,-	11271.400661805112	10785.046236323024
hsa-let-7i	747.0	260296.0	259765.0	10089.01492879325	9653.679764459945	12:hsa;hsa-let-7i,62603686,62603769,+	10068.433487176057	9633.986400155736
hsa-mir-99b	856.0	222637.0	222637.0	8629.36048460884	8257.00856609425	19:hsa;hsa-mir-99b,51692612,51692681,+	8629.36048460884	8257.00856609425
hsa-mir-151a	1087.0	217603.0	215721.0	8434.243766904592	8070.311022012545	8:hsa;hsa-mir-151a,140732564,140732653,-	8361.297866483575	8000.512695043581
hsa-let-7e	859.0	216956.0	211602.98333333334	8409.1661911488	8046.315529159771	19:hsa;hsa-let-7e,51692786,51692864,+	8201.684458567128	7847.786513447595
hsa-mir-103a-2	663.0	175227.0	87553.33333333311	6791.759454342959	6498.698958443552	20:hsa;hsa-mir-103a-2,3917494,3917571,+	3393.5476805852163	3247.1180590981585
hsa-mir-103a-1	642.0	174241.0	86568.83333333311	6753.542314164892	6462.130865780747	5:hsa;hsa-mir-103a-1,168560896,168560973,-	3355.3886800727346	3210.605597407964
hsa-mir-26b	500.0	159972.0	159860.83333333337	6200.479055340512	5932.9319669921415	2:hsa;hsa-mir-26b,218402646,218402722,+	6196.170260124359	5928.809093799768
hsa-mir-99a	678.0	158913.0	158643.0	6159.432451437294	5893.656500328946	21:hsa;hsa-mir-99a,16539089,16539169,+	6148.967311631941	5883.64292525901
hsa-let-7d	793.0	134926.0	128867.74999999999	5229.701679174317	5004.043073652774	9:hsa;hsa-let-7d,94178834,94178920,+	4994.885259819575	4779.35884710669
hsa-mir-487b	644.0	132136.0	132135.5	5121.561901185669	4900.569464596764	14:hsa;hsa-mir-487b,101046455,101046538,+	5121.54252129714	4900.550920939228
hsa-mir-23b	860.0	130092.0	130009.0	5042.336916881441	4824.762992585837	9:hsa;hsa-mir-23b,95085208,95085304,+	5039.119855385721	4821.684745434709
hsa-mir-191	588.0	126113.0	126113.0	4888.111763972182	4677.192565907033	3:hsa;hsa-mir-191,49020618,49020709,-	4888.111763972182	4677.192565907033
hsa-mir-181b-2	1011.0	125460.0	64362.41666666669	4862.801629554051	4652.974549163816	9:hsa;hsa-mir-181b-2,124693710,124693798,+	2494.6729208409342	2387.0292258303616
hsa-mir-181b-1	940.0	122407.0	61308.91666666669	4744.468030199448	4539.746976243387	1:hsa;hsa-mir-181b-1,198858873,198858982,-	2376.3199415978024	2273.7831092523948
hsa-mir-129-1	736.0	118750.0	61734.0	4602.723525502499	4404.118665018358	7:hsa;hsa-mir-129-1,128207872,128207943,+	2392.7960768283897	2289.5483087683647
hsa-mir-129-2	717.0	116701.0	59685.0	4523.3047423129865	4328.126756432062	11:hsa;hsa-mir-129-2,43581394,43581483,+	2313.377293638877	2213.556400182069
hsa-mir-29a	680.0	115649.0	115597.33333333333	4482.529456849166	4289.110900974384	7:hsa;hsa-mir-29a,130876747,130876810,-	4480.526868367895	4287.1947230289015
hsa-mir-21	573.0	112799.0	112799.0	4372.064092237107	4183.4120530139435	17:hsa;hsa-mir-21,59841266,59841337,+	4372.064092237107	4183.4120530139435
hsa-mir-30c-2	475.0	97239.0	49625.0	3768.961961232316	3606.3334304650116	6:hsa;hsa-mir-30c-2,71376960,71377031,-	1923.4539364468337	1840.4580105392506
hsa-mir-423	920.0	97182.0	97182.0	3766.7526539400747	3604.2194535058024	17:hsa;hsa-mir-423,30117079,30117172,+	3766.7526539400747	3604.2194535058024
hsa-mir-379	537.0	95419.0	95418.0	3698.4191669888246	3538.8345170306247	14:hsa;hsa-mir-379,101022066,101022132,+	3698.3804072117678	3538.797429715551
hsa-mir-30c-1	431.0	95350.0	47736.0	3695.7447423719013	3536.27549229053	1:hsa;hsa-mir-30c-1,40757284,40757372,+	1850.2367175864192	1770.4000723647691
hsa-mir-30e	775.0	87955.0	87245.0	3409.116191036398	3262.014797319492	1:hsa;hsa-mir-30e,40754355,40754446,+	3381.5967493260255	3235.6828036170664
hsa-mir-92b	854.0	86569.0	86564.33333333333	3355.395140035586	3210.6117786271516	1:hsa;hsa-mir-92b,155195177,155195272,+	3355.214261075987	3210.43870449014
hsa-mir-24-1	526.0	86335.0	44111.0	3346.32535220428	3201.933346899873	9:hsa;hsa-mir-24-1,95086021,95086088,+	1709.7325257552905	1635.9585552221035
hsa-mir-126	700.0	86183.0	86183.0	3340.433866091637	3196.2960750086495	9:hsa;hsa-mir-126,136670602,136670686,+	3340.433866091637	3196.2960750086495
hsa-mir-24-2	479.0	84554.0	42330.0	3277.2941892660065	3135.8808387533663	19:hsa;hsa-mir-24-2,13836287,13836359,-	1640.701362817017	1569.9060470755965
hsa-mir-132	642.0	78607.0	78607.0	3046.7897951088416	2915.322576009247	17:hsa;hsa-mir-132,2049908,2050008,-	3046.7897951088416	2915.322576009247
hsa-mir-146b	425.0	75317.0	75316.5	2919.270128591762	2793.3053094163174	10:hsa;hsa-mir-146b,102436512,102436584,+	2919.2507487032335	2793.2867657587803
hsa-mir-218-1	561.0	72901.0	36867.5	2825.6265072223805	2703.7023561979227	4:hsa;hsa-mir-218-1,20528275,20528384,+	1428.9760806439022	1367.3165884847522
hsa-mir-218-2	527.0	72246.0	36212.5	2800.238853250135	2679.4101648245583	5:hsa;hsa-mir-218-2,168768146,168768255,-	1403.5884266716569	1343.0243971113878
hsa-mir-95	265.0	70106.0	70106.0	2717.292930348448	2600.0433105665434	4:hsa;hsa-mir-95,8005301,8005381,-	2717.292930348448	2600.0433105665434
hsa-mir-16-2	451.0	69622.0	35196.833333333336	2698.533198252926	2582.093050070805	3:hsa;hsa-mir-16-2,160404745,160404825,+	1364.2214131075696	1305.3560474347255
hsa-mir-340	456.0	69351.0	69351.0	2688.0292986705163	2572.042387685795	5:hsa;hsa-mir-340,180015303,180015397,-	2688.0292986705163	2572.042387685795
hsa-mir-16-1	425.0	69109.0	34683.833333333336	2678.6494326227553	2563.067257437926	13:hsa;hsa-mir-16-1,50048973,50049061,-	1344.3376474773988	1286.3302548018462
hsa-mir-338	392.0	68751.0	68751.0	2664.7734324363983	2549.789998641492	17:hsa;hsa-mir-338,81125883,81125949,-	2664.7734324363983	2549.789998641492
hsa-mir-320a	617.0	63347.0	61401.21071428576	2455.31559722111	2349.3701479824667	8:hsa;hsa-mir-320a,22244966,22245037,-	2379.8972383071928	2277.206047675883
hsa-mir-139	546.0	63067.0	63067.0	2444.462859645188	2338.9856997617917	11:hsa;hsa-mir-139,72615063,72615130,-	2444.462859645188	2338.9856997617917
hsa-mir-101-2	507.0	61153.0	31094.0	2370.276646358352	2268.000578710464	9:hsa;hsa-mir-101-2,4850297,4850375,+	1205.1965078061028	1153.1929749059439
hsa-mir-101-1	484.0	60154.0	30095.0	2331.5556290785457	2230.9503509516994	1:hsa;hsa-mir-101-1,65058434,65058508,-	1166.4754905262964	1116.1427471471789
hsa-mir-323a	332.0	55595.0	55547.0	2154.8498054763068	2061.8692815300683	14:hsa;hsa-mir-323a,101025732,101025817,+	2152.989336177577	2060.089090406524
hsa-mir-1-2	250.0	49793.0	25179.666666666664	1929.9655789923868	1846.6886794716556	18:hsa;hsa-mir-1-2,21829004,21829088,-	975.9582663661283	933.8462311209031
hsa-mir-451a	258.0	49432.0	49431.5	1915.9732994748592	1833.3001587299998	17:hsa;hsa-mir-451a,28861369,28861440,-	1915.9539195863308	1833.2816150724627
hsa-mir-1-1	238.0	49251.0	24637.666666666664	1908.957779827567	1826.587354701635	20:hsa;hsa-mir-1-1,62554306,62554376,+	954.9504672013086	913.7449063508824
hsa-mir-222	586.0	48797.0	48797.0	1891.3608410437512	1809.7497136581121	X:hsa;hsa-mir-222,45747015,45747124,-	1891.3608410437512	1809.7497136581121
hsa-mir-329-2	603.0	45982.0	22991.0	1782.2520686286814	1705.3489217252559	14:hsa;hsa-mir-329-2,101027100,101027183,+	891.1260343143407	852.6744608626279
hsa-mir-329-1	603.0	45982.0	22991.0	1782.2520686286814	1705.3489217252559	14:hsa;hsa-mir-329-1,101026785,101026864,+	891.1260343143407	852.6744608626279
hsa-mir-140	764.0	43157.0	43157.0	1672.755698443043	1600.5772566416613	16:hsa;hsa-mir-140,69933081,69933180,+	1672.755698443043	1600.5772566416613
hsa-mir-221	504.0	41829.0	41829.0	1621.2827145115286	1551.3253022236033	X:hsa;hsa-mir-221,45746157,45746266,-	1621.2827145115286	1551.3253022236033
hsa-mir-485	438.0	40736.0	40736.0	1578.9182781883771	1510.7888668478975	14:hsa;hsa-mir-485,101055419,101055491,+	1578.9182781883771	1510.7888668478975
hsa-mir-433	352.0	39287.0	39287.0	1522.7553612329825	1457.049347305905	14:hsa;hsa-mir-433,100881886,100881978,+	1522.7553612329825	1457.049347305905
hsa-mir-22	285.0	37620.0	37620.0	1458.1428128791918	1395.2247930778158	17:hsa;hsa-mir-22,1713903,1713987,-	1458.1428128791918	1395.2247930778158
hsa-mir-342	447.0	37330.0	37330.0	1446.9024775327014	1384.4694717064026	14:hsa;hsa-mir-342,100109655,100109753,+	1446.9024775327014	1384.4694717064026
hsa-mir-409	440.0	35019.0	35019.0	1357.3286327542905	1298.760686570761	14:hsa;hsa-mir-409,101065300,101065378,+	1357.3286327542905	1298.760686570761
hsa-mir-382	349.0	34949.0	34949.0	1354.6154483603102	1296.1645745155924	14:hsa;hsa-mir-382,101054306,101054381,+	1354.6154483603102	1296.1645745155924
hsa-mir-584	326.0	33833.0	33833.0	1311.359537164851	1254.7751308931884	5:hsa;hsa-mir-584,149062313,149062409,-	1311.359537164851	1254.7751308931884
hsa-mir-369	205.0	31786.0	31786.0	1232.018273529452	1178.8573969370402	14:hsa;hsa-mir-369,101065598,101065667,+	1232.018273529452	1178.8573969370402
hsa-mir-23a	307.0	31343.0	31264.0	1214.8476922932616	1162.4277163593297	19:hsa;hsa-mir-23a,13836587,13836659,-	1211.7856699057695	1159.4978184684965
hsa-mir-127	527.0	29359.0	29359.0	1137.9482946124451	1088.8464832528334	14:hsa;hsa-mir-127,100882979,100883075,+	1137.9482946124451	1088.8464832528334
hsa-mir-361	405.0	27160.0	27160.0	1052.7155448644032	1007.2914774054619	X:hsa;hsa-mir-361,85903636,85903707,-	1052.7155448644032	1007.2914774054619
hsa-mir-335	278.0	26466.0	26466.0	1025.81625958694	981.5528807442178	7:hsa;hsa-mir-335,130496111,130496204,+	1025.81625958694	981.5528807442178
hsa-mir-93	288.0	26397.0	26397.0	1023.1418349700166	978.9938560041229	7:hsa;hsa-mir-93,100093768,100093847,-	1023.1418349700166	978.9938560041229
hsa-mir-25	310.0	26029.0	26029.0	1008.8782370130909	965.3457240569502	7:hsa;hsa-mir-25,100093560,100093643,-	1008.8782370130909	965.3457240569502
hsa-mir-330	536.0	25310.0	25310.0	981.0099573092062	938.6799445188601	19:hsa;hsa-mir-330,45638994,45639087,-	981.0099573092062	938.6799445188601
hsa-mir-149	259.0	25259.0	25259.0	979.0332086793063	936.7884914500944	2:hsa;hsa-mir-149,240456001,240456089,+	979.0332086793063	936.7884914500944
hsa-mir-204	265.0	23704.0	23699.0	918.7617553558841	879.117716510275	9:hsa;hsa-mir-204,70809975,70810084,-	918.5679564705997	878.9322799349059
hsa-mir-885	171.0	21809.0	21809.0	845.3119778331284	808.8372544453505	3:hsa;hsa-mir-885,10394489,10394562,-	845.3119778331284	808.8372544453505
hsa-mir-411	239.0	21449.0	21448.0	831.3584580926577	795.4858210187685	14:hsa;hsa-mir-411,101023325,101023420,+	831.3196983156008	795.4487337036946
hsa-mir-769	262.0	21052.0	21052.0	815.970826601083	780.7621569344545	19:hsa;hsa-mir-769,46018932,46019049,+	815.970826601083	780.7621569344545
hsa-mir-495	219.0	19785.0	19785.0	766.8621890700374	733.7725287359008	14:hsa;hsa-mir-495,101033755,101033836,+	766.8621890700374	733.7725287359008
hsa-mir-145	279.0	19673.0	19673.0	762.5210940396687	729.6187494476308	5:hsa;hsa-mir-145,149430646,149430733,+	762.5210940396687	729.6187494476308
hsa-mir-28	173.0	19020.0	19020.0	737.2109596215371	705.400732704414	3:hsa;hsa-mir-28,188688781,188688866,+	737.2109596215371	705.400732704414
hsa-mir-432	336.0	18421.0	18421.0	713.993853164476	683.1854309751847	14:hsa;hsa-mir-432,100884483,100884576,+	713.993853164476	683.1854309751847
hsa-mir-186	174.0	17699.0	17699.0	686.0092941294208	656.408389491873	1:hsa;hsa-mir-186,71067631,71067716,-	686.0092941294208	656.408389491873
hsa-mir-486-1	259.0	16667.0	8532.5	646.0092042067381	618.1342803356713	8:hsa;hsa-mir-486-1,41660441,41660508,-	330.7177977376848	316.4475158675296
hsa-mir-486-2	243.0	16376.0	8241.5	634.7301090831909	607.3418716491842	8:hsa;hsa-mir-486-2,41660444,41660507,+	319.43870261413764	305.6551071810425
hsa-mir-29b-2	285.0	15730.0	8530.166666666668	609.6912931044574	583.3834661114844	1:hsa;hsa-mir-29b-2,207802443,207802523,-	330.62735825788553	316.360978799024
hsa-mir-148b	225.0	15648.0	15637.0	606.5129913857945	580.3423062754296	12:hsa;hsa-mir-148b,54337216,54337314,+	606.0866338381691	579.9343458096174
hsa-mir-328	228.0	15537.0	15537.0	602.2106561324828	576.2256143022335	16:hsa;hsa-mir-328,67202321,67202395,-	602.2106561324828	576.2256143022335
hsa-mir-29b-1	253.0	14740.0	7540.166666666666	571.3191138181628	546.667024188384	7:hsa;hsa-mir-29b-1,130877459,130877539,-	292.2551789715909	279.6445368759235
hsa-mir-195	188.0	14739.0	14728.333333333334	571.280354041106	546.6299368733102	17:hsa;hsa-mir-195,7017615,7017701,-	570.866916419166	546.2343388458559
hsa-mir-370	225.0	14521.0	14521.0	562.8307226427098	538.5449021872133	14:hsa;hsa-mir-370,100911139,100911213,+	562.8307226427098	538.5449021872133
hsa-mir-425	255.0	14289.0	14289.0	553.8384543655176	529.9406450900826	3:hsa;hsa-mir-425,49020148,49020234,-	553.8384543655176	529.9406450900826
hsa-mir-543	181.0	14144.0	14143.5	548.2182866922724	524.562984404376	14:hsa;hsa-mir-543,101031987,101032064,+	548.198906803744	524.5444407468391
hsa-mir-374b	199.0	13888.0	13815.5	538.2957837657154	515.0686317454733	X:hsa;hsa-mir-374b,74218547,74218618,-	535.4856999290928	512.37980140262
hsa-mir-889	137.0	13372.0	13372.0	518.2957388043741	495.9315771673725	14:hsa;hsa-mir-889,101047901,101047979,+	518.2957388043741	495.9315771673725
hsa-mir-27a	241.0	13145.0	12688.5	509.4972694124661	487.5127566456111	19:hsa;hsa-mir-27a,13836440,13836517,-	491.8034311860081	470.58239731440364
hsa-mir-135a-2	121.0	12406.0	6641.0	480.8537941674442	460.1052308060442	12:hsa;hsa-mir-135a-2,97563812,97563911,+	257.40367943462815	246.2968594053635
hsa-mir-1301	277.0	12131.0	12131.0	470.1948554768069	449.90621916073854	2:hsa;hsa-mir-1301,25328640,25328721,-	470.1948554768069	449.90621916073854
hsa-mir-197	88.0	11677.0	11677.0	452.59791669299096	433.06857811721574	1:hsa;hsa-mir-197,109598893,109598967,+	452.59791669299096	433.06857811721574
hsa-mir-135a-1	91.0	11580.0	5815.0	448.83821831847524	429.4711085550533	3:hsa;hsa-mir-135a-1,52294219,52294308,-	225.38810358565922	215.66273715437265
hsa-mir-30b	142.0	11495.0	11495.0	445.5436372686419	426.3186867737771	8:hsa;hsa-mir-30b,134800520,134800607,-	445.5436372686419	426.3186867737771
hsa-mir-185	154.0	10234.0	10234.0	396.6675583999375	379.55158246566634	22:hsa;hsa-mir-185,20033139,20033220,+	396.6675583999375	379.55158246566634
hsa-mir-652	166.0	10180.0	10180.0	394.5745304388669	377.54886745167903	X:hsa;hsa-mir-652,110055329,110055426,+	394.5745304388669	377.54886745167903
hsa-mir-136	186.0	9640.0	9640.0	373.64425082816075	357.52171731180607	14:hsa;hsa-mir-136,100884702,100884783,+	373.64425082816075	357.52171731180607
hsa-mir-146a	137.0	9128.0	9127.5	353.7992449750468	338.5330119940006	5:hsa;hsa-mir-146a,160485352,160485450,+	353.7798650865184	338.51446833646366
hsa-mir-598	123.0	8740.0	8740.0	338.7604514769839	324.1431337453511	8:hsa;hsa-mir-598,11035206,11035302,-	338.7604514769839	324.1431337453511
hsa-mir-874	180.0	8553.0	8553.0	331.5123731673505	317.2078058265433	5:hsa;hsa-mir-874,137647572,137647649,-	331.5123731673505	317.2078058265433
hsa-mir-29c	194.0	8474.0	8398.333333333334	328.4503507798583	314.27790793571	1:hsa;hsa-mir-29c,207801852,207801939,-	325.51752764922236	311.47163442845624
hsa-mir-3613	51.0	8352.0	8352.0	323.72165797892103	309.7532554967017	13:hsa;hsa-mir-3613,49996415,49996501,-	323.72165797892103	309.7532554967017
hsa-mir-1180	133.0	8196.0	8196.0	317.6751327580504	303.96763434518283	17:hsa;hsa-mir-1180,19344506,19344574,-	317.6751327580504	303.96763434518283
hsa-mir-628	209.0	8152.0	8152.0	315.9697025675484	302.33579248193394	15:hsa;hsa-mir-628,55372940,55373034,-	315.9697025675484	302.33579248193394
hsa-mir-504	113.0	7222.0	7222.0	279.92310990466564	267.84458946326384	X:hsa;hsa-mir-504,138667711,138667793,-	279.92310990466564	267.84458946326384
hsa-mir-374a	128.0	7118.0	7109.5	275.89209309075187	263.9875086955846	X:hsa;hsa-mir-374a,74287286,74287357,-	275.56263498576857	263.672266517457
hsa-mir-744	113.0	6334.0	6334.0	245.50442787817119	234.91105367769498	17:hsa;hsa-mir-744,12081899,12081996,+	245.50442787817119	234.91105367769498
hsa-mir-107	186.0	6222.0	3721.83333333334	241.1633328478025	230.75727438942505	10:hsa;hsa-mir-107,89592747,89592827,-	144.2574302428021	138.0328054856493
hsa-mir-1843	81.0	6122.0	5907.6	237.28735514211618	227.04854288204115	1:hsa;hsa-mir-1843,175968370,175968479,-	228.97725894112475	219.09702253021013
hsa-mir-363	135.0	6117.0	6117.0	237.09355625683187	226.86310630667197	X:hsa;hsa-mir-363,134169378,134169452,-	237.09355625683187	226.86310630667197
hsa-mir-15a	115.0	6086.0	6086.0	235.89200316806912	225.71339953938295	13:hsa;hsa-mir-15a,50049119,50049201,-	235.89200316806912	225.71339953938295
hsa-mir-421	140.0	6028.0	6028.0	233.64393609877106	223.5623352651003	X:hsa;hsa-mir-421,74218377,74218461,-	233.64393609877106	223.5623352651003
hsa-mir-212	152.0	5895.0	5895.0	228.48888575020825	218.62972236027974	17:hsa;hsa-mir-212,2050271,2050380,-	228.48888575020825	218.62972236027974
hsa-mir-346	108.0	5779.0	5779.0	223.99275161161214	214.32759381171445	10:hsa;hsa-mir-346,86264694,86264788,-	223.99275161161214	214.32759381171445
hsa-mir-625	162.0	5767.0	5767.0	223.52763428692978	213.8825460308284	14:hsa;hsa-mir-625,65471102,65471186,+	223.52763428692978	213.8825460308284
hsa-mir-574	104.0	5749.0	5749.0	222.82995829990625	213.21497435949928	4:hsa;hsa-mir-574,38868032,38868127,+	222.82995829990625	213.21497435949928
hsa-mir-148a	123.0	5413.0	5402.0	209.80667320880022	200.75363649468943	7:hsa;hsa-mir-148a,25949919,25949986,-	209.38031566117473	200.34567602887722
hsa-mir-323b	96.0	5132.0	5084.0	198.91517585582167	190.33210095894074	14:hsa;hsa-mir-323b,101056219,101056300,+	197.05470655709226	188.5519098353965
hsa-mir-137	130.0	5109.0	5109.0	198.02370098351383	189.47909271224245	1:hsa;hsa-mir-137,98046070,98046171,-	198.02370098351383	189.47909271224245
hsa-mir-708	83.0	5079.0	5079.0	196.86090767180792	188.36647326002728	11:hsa;hsa-mir-708,79402022,79402109,-	196.86090767180792	188.36647326002728
hsa-mir-203a	105.0	4970.0	4970.0	192.63609197260985	184.32395591697886	14:hsa;hsa-mir-203a,104117405,104117514,+	192.63609197260985	184.32395591697886
hsa-mir-151b	62.0	4940.0	3058.0	191.47329866090396	183.2113364647637	14:hsa;hsa-mir-151b,100109419,100109514,-	118.5273982398875	113.41300949579906
hsa-mir-656	52.0	4787.0	4787.0	185.5430527712039	177.53697725846635	14:hsa;hsa-mir-656,101066724,101066801,+	185.5430527712039	177.53697725846635
hsa-mir-152	116.0	4722.0	4722.0	183.0236672625078	175.12630177866683	17:hsa;hsa-mir-152,48037161,48037247,-	183.0236672625078	175.12630177866683
hsa-mir-324	113.0	4675.0	4675.0	181.2019577408352	173.38319797019642	17:hsa;hsa-mir-324,7223297,7223379,-	181.2019577408352	173.38319797019642
hsa-mir-1249	135.0	4553.0	4553.0	176.47326493989792	168.85854553118807	22:hsa;hsa-mir-1249,45200954,45201019,-	176.47326493989792	168.85854553118807
hsa-mir-365b	81.0	4400.0	2231.0	170.54301905019784	163.18418632489073	17:hsa;hsa-mir-365b,31575411,31575521,+	86.47306261386169	82.74179992973437
hsa-mir-365a	80.0	4338.0	2169.0	168.13991287267234	160.88477279031272	16:hsa;hsa-mir-365a,14309285,14309371,+	84.06995643633617	80.44238639515636
hsa-mir-539	109.0	4278.0	4278.0	165.81432624926055	158.6595338858824	14:hsa;hsa-mir-539,101047321,101047398,+	165.81432624926055	158.6595338858824
hsa-mir-331	127.0	4264.0	4262.266666666666	165.27168937046446	158.14031147484866	12:hsa;hsa-mir-331,95308420,95308513,+	165.20450575689924	158.07602679538732
hsa-mir-181c	107.0	4221.0	4201.5	163.60501895701935	156.54555692667358	19:hsa;hsa-mir-181c,13874699,13874808,+	162.8492033044105	155.82235428273373
