gene	32152388_EXO_S22	32170641_EXO_S35	32160652_EXO_S28	32152480_EXO_S3	32170419_EXO_S34	32160008_EXO_S24	32151370_EXO_S14	32150690_EXO_S2	180726-190530_Brain_S36	32151510_EXO_S15	32160118_EXO_S26	32150162_EXO_S11	32151633_EXO_S16	32152263_EXO_S7	32152081_EXO_S18	32152276_EXO_S21	32160740_EXO_S29	32152259_EXO_S20	32160002_EXO_S23	32161448_EXO_S32	32152082_EXO_S19	32152019_EXO_S17	32161241_EXO_S31	32170071_EXO_S33	32141754_EXO_S5	32150091_EXO_S1	32160964_EXO_S30	32160619_EXO_S27	32151247_EXO_S13	32150880_EXO_S12	32151523_EXO_S6	32141765_EXO_S9	32150158_EXO_S10	32140235_EXO_S8	32160071_EXO_S25	32151648_EXO_S4
hsa-miR-629-5p	47.0	97.0	28.0	56.0	114.0	26.0	83.0	114.0	578.0	82.0	30.0	0.0	155.0	1.0	0.0	8.0	0.0	0.0	148.0	121.0	0.0	111.0	114.0	177.0	58.0	0.0	44.0	169.0	7.0	28.0	24.0	16.0	141.0	39.0	1.0	0.0
hsa-miR-5006-3p	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1298-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	311.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-493-3p	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	21.0	0.0	0.0	0.0
hsa-miR-218-2-3p	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3190-3p	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-miR-122-5p	14.0	127.0	0.0	0.0	0.0	0.0	23.0	64.0	98.0	0.0	0.0	17.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	13.0	0.0	0.0	34.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	6.0	4.0	0.0	0.0
hsa-miR-6769b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-582-3p	12.0	0.0	0.0	5.0	0.0	0.0	24.0	0.0	422.0	0.0	1.0	0.0	40.0	0.0	0.0	2.0	0.0	18.0	40.0	0.0	24.0	0.0	0.0	87.0	2.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0
hsa-miR-3917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3916	14.0	52.0	2.0	44.0	36.0	0.0	0.0	101.0	0.0	19.0	0.0	18.0	16.0	100.0	229.0	9.0	13.0	0.0	3.0	0.0	1.0	56.0	21.0	0.0	0.0	0.0	20.0	53.0	0.0	2.0	21.0	4.0	30.0	0.0	0.0	1.0
hsa-miR-6812-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-642a-5p	5.0	0.0	0.0	92.0	0.0	18.0	9.5	150.0	45.5	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	113.0	4.0	74.5	53.0	20.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0
hsa-miR-4687-3p	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	14.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3911	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	18.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	9.0	0.0	54.0	0.0	0.0
hsa-miR-211-5p	7.5	34.5	4.5	9.0	35.0	2.0	24.0	196.5	38.5	1.0	10.0	13.5	77.5	0.0	0.0	2.0	0.0	1.5	35.5	13.0	8.0	43.5	26.0	124.0	6.5	0.0	1.5	110.5	0.5	1.0	26.0	0.5	96.5	0.0	1.0	0.0
hsa-miR-4724-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
hsa-miR-3059-3p	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6803-5p	0.0	38.0	68.0	6.0	0.0	0.0	13.0	0.0	0.0	10.0	6.0	19.0	1.0	1.0	200.0	0.0	89.0	2.0	0.0	0.0	0.0	43.0	19.0	0.0	0.0	1.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-3p	18.0	27.0	0.0	14.0	0.0	67.0	25.0	0.0	1044.0	19.0	5.0	10.0	133.0	0.0	0.0	61.0	0.0	11.0	122.0	54.0	0.0	13.0	70.0	331.0	13.0	0.0	49.0	146.0	32.0	36.0	49.0	2.0	256.0	0.0	0.0	0.0
hsa-miR-92b-5p	1.0	0.0	8.0	185.0	0.0	0.0	18.0	29.0	372.0	11.0	132.0	0.0	126.0	1.0	0.0	0.0	0.0	0.0	7.0	81.0	6.0	96.0	79.0	54.0	16.0	0.0	0.0	13.0	15.0	0.0	0.0	18.0	45.0	0.0	0.0	0.0
hsa-miR-6757-5p	0.0	92.0	1.0	31.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	1.0	23.0	1.0	0.0	11.0	40.0	1.0
hsa-miR-107	164.0	271.33	1.33	405.83	210.33	131.67	363.33	729.33	10580.67	82.0	847.67	29.67	1156.67	1.0	1.0	70.67	1.33	16.67	583.83	135.67	81.33	107.0	758.67	1144.0	70.33	1.0	49.67	442.67	147.67	12.33	108.0	37.0	736.0	9.33	196.33	15.67
hsa-miR-4776-3p	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
hsa-miR-24-2-5p	5.0	1.0	11.0	54.0	0.0	40.0	12.0	0.0	113.0	28.0	49.0	11.0	109.0	0.0	0.0	0.0	0.0	0.0	72.0	62.0	0.0	25.0	38.0	153.0	14.0	0.0	19.0	57.0	1.0	0.0	0.0	13.0	186.0	0.0	0.0	0.0
hsa-miR-6846-5p	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
hsa-let-7b-5p	37899.27	83688.25	13543.5	118295.55	56186.75	40365.75	94313.9	232677.85	337436.48	28058.0	302771.75	13666.55	267314.05	11205.5	10538.75	34289.65	3752.75	26131.7	178508.4	58423.85	47020.75	52130.1	96595.2	317049.6	14136.3	1166.5	32986.5	197098.1	61786.05	27879.9	28744.25	20336.25	384151.2	2495.95	44985.45	5369.85
hsa-miR-3909	5.0	0.0	9.0	39.0	55.0	0.0	33.0	0.0	109.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	16.0	53.0	67.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	1.0	21.0	0.0	0.0	0.0
hsa-miR-3908	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
hsa-miR-3907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-939-5p	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	17.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	22.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0
hsa-miR-1273h-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6889-5p	4.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	6.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	21.0	28.0	0.0	0.0	15.0	0.0	0.0
hsa-miR-629-3p	0.0	29.0	0.0	0.0	0.0	0.0	2.0	14.0	13.0	0.0	19.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	9.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10399-5p	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	15.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
hsa-miR-7152-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-2467-3p	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-664b-5p	7.0	0.0	0.0	0.0	0.0	10.0	29.0	25.0	15.0	25.0	10.0	3.0	34.0	65.0	0.0	0.0	0.0	0.0	35.0	23.0	0.0	7.0	17.0	143.0	27.0	0.0	0.0	110.0	0.0	0.0	15.0	1.0	20.0	0.0	0.0	1.0
hsa-miR-1237-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	22.0	0.0	0.0	0.0	4.0	0.0	0.0
hsa-miR-432-5p	0.0	0.0	0.0	6.0	36.0	0.0	0.0	0.0	8882.0	1.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	10.0	99.0	1.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
hsa-miR-3688-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6790-5p	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-135b-5p	215.0	486.0	268.0	900.33	850.0	477.0	531.33	481.33	185.0	107.0	965.33	30.0	2682.0	55.0	169.33	146.0	24.0	81.0	526.0	505.33	2.0	58.0	887.33	2952.0	150.0	0.0	274.0	563.0	132.0	309.33	18.0	405.0	784.0	10.0	171.0	92.0
hsa-miR-3679-5p	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	1.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	17.0	26.0	41.0	0.0	0.0	8.0	16.0	22.0	0.0	28.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
hsa-miR-19a-3p	4.0	0.0	2.0	60.0	48.0	5.0	77.0	0.0	93.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	37.0	41.0	0.0	0.0	7.0	59.67	0.0	0.0	0.0	0.0	1.0	0.0	22.0	3.0	28.33	5.0	0.0	1.0
hsa-miR-642a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	19.0	0.0	51.0	1.0	0.0	0.0	0.0	1.0	6.0	5.0	0.0	13.0	21.0	68.0	3.5	1.0	0.0	79.0	5.0	0.0	0.0	1.0	54.0	0.0	0.0	0.0
hsa-miR-211-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	12.0	0.0	0.0	20.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	30.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-18b-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
hsa-miR-5192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
hsa-miR-520a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
hsa-miR-5190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0
hsa-miR-6803-3p	4.0	35.0	0.0	11.0	0.0	0.0	25.0	68.0	49.0	4.0	47.0	4.0	73.0	0.0	0.0	27.0	0.0	0.0	0.0	1.0	0.0	0.0	8.0	14.0	2.0	0.0	14.0	0.0	23.0	26.0	0.0	3.0	0.0	0.0	0.0	0.0
hsa-miR-3912-3p	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	133.0	7.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	22.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-92b-3p	438.0	1636.0	320.0	2387.33	2276.0	935.0	1837.0	4579.0	47345.0	544.0	5960.67	87.0	6093.0	1.0	228.0	905.0	146.0	586.0	2482.0	787.0	847.0	1345.33	2537.0	7088.67	124.0	0.0	626.0	3908.0	882.0	330.0	283.0	238.0	5877.0	50.0	562.0	14.0
hsa-miR-202-5p	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4715-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6748-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0
hsa-miR-27a-5p	0.0	56.0	32.0	9.0	0.0	0.0	6.0	0.0	34.0	14.0	1.0	0.0	85.0	0.0	0.0	9.0	0.0	20.0	64.0	89.0	0.0	8.0	34.0	282.0	5.0	0.0	0.0	0.0	0.0	27.0	0.0	35.0	12.0	0.0	0.0	0.0
