name	180919-190527_Brain_S35	32150043_EXO_S34	32152359_EXO_S1	32152366_EXO_S2	32152381_EXO_S3	32152446_EXO_S4	32152451_EXO_S5	32160028_EXO_S6	32160083_EXO_S7	32160120_EXO_S8	32160241_EXO_S9	32160246_EXO_S10	32160323_EXO_S11	32160457_EXO_S12	32160466_EXO_S13	32160472_EXO_S14	32160600_EXO_S15	32160766_EXO_S16	32160782_EXO_S17	32161246_EXO_S18	32161252_EXO_S19	32161358_EXO_S20	32161367_EXO_S21	32161415_EXO_S22	32170068_EXO_S23	32170276_EXO_S24	32170346_EXO_S25	32170365_EXO_S26	32170367_EXO_S27	32170368_EXO_S28	32170381_EXO_S29	32170400_EXO_S30	32170453_EXO_S31	32170613_EXO_S32	32170644_EXO_S33
hsa-miR-1225-5p	8				1																														
hsa-miR-1226-3p	233	27	3	4	5	8			4			16	3	6	15					15	1					12	11	9	7	7					31
hsa-miR-1226-5p	5				2			8						2					3	2				7		2	3	2	11				15		
hsa-miR-1227-5p													5																						
hsa-miR-1228-3p	84									6																			10						
hsa-miR-1228-5p	13					1	19																			1				8					
hsa-miR-1229-3p	161				1	4									1										11		9	6					10		
hsa-miR-1229-5p								10							3																				
hsa-miR-122b-5p						1														7	3								10						20
hsa-miR-1231	53																																		
hsa-miR-1234-3p																													13						
hsa-miR-1237-3p	20					7																													
hsa-miR-124-3p	391360	46			1	13	47	2	9			3	1	4	13	2	14	12	2	1	10	1		18	25	46			23	1		1			1
hsa-miR-124-5p	637																																		
hsa-miR-1243	56																																		
hsa-miR-1244																												28							
hsa-miR-1246				9		10		24				7			12		1		48		1	4				3			5	9				31	
hsa-miR-1247-5p	270					2		29							2				3																
hsa-miR-1248	7																																2		
hsa-miR-1249-3p	2439			11	1	9	10	4	5	3	4			1	18	2	21				7	3	13		5	27	1	11	22			31			
hsa-miR-1249-5p					1																														
hsa-miR-1250-5p	334																																13		
hsa-miR-1251-3p																												5							
hsa-miR-1251-5p	60															2	2					3						6							
hsa-miR-1252-5p	1																																		
hsa-miR-1255a		14														1							3					2							
hsa-miR-1258	38																																		
hsa-miR-125a-3p	410		11	46	130	30	116	102	24	35	17	54	39	69	204	36	211	1	114	36	26	20	97	40	1	259	16	109	189	12	67		89	18	52
hsa-miR-125a-5p	331818	2827	11305	14252	21246	13183	18711	39537	13415	7375	3391	12272	13910	21805	48260	9593	44560	445	36356	10276	8400	5240	33801	13941	6625	60814	9247	29898	33011	5687	12571	10758	22067	826	8845
hsa-miR-125b-1-3p	2843		10	9	19	7	5		7	8			2		12		15				14		3			11	17	4	23					1	
hsa-miR-125b-2-3p	15550	176	59	185	278	143	216	170	42	94	65	100	126	143	437	143	383	4	372	74	52	65	176	80	53	646	156	1319	474	59	3		120	21	105
hsa-miR-125b-5p	413115	1588	2083	4193	5498	3265	3606	5671	2470	1490	651	3239	3376	4525	8171	2815	7898	204	9239	2100	1785	1506	6495	2868	1272	14161	3444	25380	7430	1046	2817	2228	3512	508	2479
hsa-miR-126-3p	95726		19	101	24	260	63	172	118	160		1	48	63	77	11	158	3	56	28	82	37	83	27	7	275	1	198	57		144	42	80	1	
hsa-miR-126-5p	12875		5	14	12	21		20		18			3	7		3	35	1		6	14	1				76		57	10		120				
hsa-miR-1260a	2664	386	262	604	372	634	338	1153	588	231	187	138	530	694	1473	604	981	15	1827	669	253	216	2088	94	164	1267	1001	13884	1043	754	1287	462	1988	40	238
hsa-miR-1260b	2724	385	271	612	390	626	382	1094	517	239	174	123	548	721	1406	606	961	14	1951	709	220	230	2339	89	229	1115	1089	15289	957	782	1384	410	1976	40	215
hsa-miR-1261	18					4								7		10							19					8					1		
hsa-miR-1262				3		3	4						3	4	12				9									3							
hsa-miR-1263																													9						
hsa-miR-1264	16																																		
hsa-miR-1266-5p	20				7		2							4			3							19											
hsa-miR-1267	11	20																										1							
hsa-miR-1268b					2	1										2							12										26		
hsa-miR-1269a	2				4	29							19	17	10		10	1		4		6	39				12	16	47						
hsa-miR-1269b	2			6	10							12	1	8	24	13			5							1		1							
hsa-miR-127-3p	14539			16	10	6	4	43		7			15		7	11		1	31				39			17	20	3	34	6					4
hsa-miR-127-5p	1773				1																3					2									
hsa-miR-1270	88		3	19	2	5	5	47		1		5		7	30		93		8	5		1				26	12	14	15						
hsa-miR-1271-5p	798		14	7	23	9	14		7	9			11	7	14	7	41		4		2			20		29		4	6				27		12
hsa-miR-1273c					3										3							4								5					
hsa-miR-1273h-3p	45								1																										
hsa-miR-1275	142		7		3									1		8										12	15	89							
hsa-miR-1276	86																			7	3					3			21						
hsa-miR-1277-3p												2			1		1											2							
hsa-miR-1278	14					6											5																		
hsa-miR-128-1-5p	697			1									10	6				1										3							
hsa-miR-128-2-5p	175																																		
hsa-miR-128-3p	855971	174	387	500	628	531	921	787	450	178	171	304	388	762	1244	291	1116	37	672	173	340	181	1116	278	79	1381	334	1119	1160	206	490	100	589	8	238
hsa-miR-1283	13																						4			2	5		10	14					
hsa-miR-1284	30			1						2					3											1		1	9	8					
hsa-miR-1286	4																																		
hsa-miR-1287-3p	18					1																													
hsa-miR-1287-5p	160									3			1	1		5	17			1	1		44			3	9	7					31		
hsa-miR-1288-3p	30														12																				
hsa-miR-1289														1																					
hsa-miR-129-1-3p	2553		2	6	9							8	7	15	10		1		13	8	5	9	2			15			22					1	
hsa-miR-129-2-3p	2214													2	2				3																
hsa-miR-129-5p	58462		20	7	6	6	26	29	6			13	9	30	27	2	18	2	34	4		19	31	3	7	81		18	42				19		
hsa-miR-1290													1																						
hsa-miR-1291	88																												11						
hsa-miR-1292-5p	127							12							6	2									9	2		5	11						
hsa-miR-1293						2								1																					1
hsa-miR-1294	58																											6							
hsa-miR-1295a	15				1																							17					14		
hsa-miR-1295b-3p				6																															
hsa-miR-1296-5p	388				8	2						17	1	7		8	2					9	58		8	29		71	20			31	7		
hsa-miR-1297																												4							
hsa-miR-1298-3p	215																																		
hsa-miR-1298-5p	71																																		
hsa-miR-1301-3p	7346	25	32	48	46	39	118	50	95	31	14	47	41	62	121	18	165	5	53	38	36	4	116	45	24	137	33	97	158	42	80	19	132	23	30
hsa-miR-1303					2														7		3			17						5					
hsa-miR-1304-3p					5	3		12	7				6	1	5							9			4			6	23						
hsa-miR-1304-5p	36				1						1		8				6									16		10							
hsa-miR-1305																	8																		
hsa-miR-1306-3p	148			1		2						19				1	12		1									4		18					
hsa-miR-1306-5p	365		9	16	12	15		20	10					14	29	3	31		2	13		7	41	10		18	2	4	23				29		
hsa-miR-1307-3p	573	19	30	66	38	68	104	151	82	48		47	36	107	127	52	82	1	114	53	42	31	378	16	18	203	17	133	245	19	174		104		88
hsa-miR-1307-5p	463	70	1	18	34	22		15	41	1	13	2	15	25	67	18	59		20	15	5	15	52	8		62	8	54	45	27	33				1
hsa-miR-130a-3p	750		14	36	27	2	50	14	13	12			3	62	81	42	62		24	28	42	6	78			61		47	110	3			5	12	14
hsa-miR-130a-5p					2		4							3	12								8												
hsa-miR-130b-3p	536		12	2	5	6	23		8	3				4	13		3			7	11			1		15	15	35	34	7			69		
hsa-miR-130b-5p	1448	5	20	33	55	57	32	88	21	5	21	24	32	100	102	51	95	1	69	46	58	40	60	1	19	100	39	225	119	19	11		68		
hsa-miR-132-3p	54590	39	37	35	60	34	140	1	12	42	10	20	34	81	73	18	128	2	26	21	42	26	113	10	28	183	3	137	91	21		1	1		16
hsa-miR-132-5p	14424			2	23	10	19					22		12	7		11		2		19		17	27	3	27		17							
hsa-miR-1323	22					1									1		1	1										7	9						
hsa-miR-133a-3p	980	19		6	1							5					11		1	3	2									1	33	66			
hsa-miR-133a-5p	2																																		
hsa-miR-133b	12																																		
hsa-miR-134-3p	28																																		
hsa-miR-134-5p	3620					5											9																1		
hsa-miR-1343-3p	231			4					9					2		4	1									11		17			18				
hsa-miR-135a-2-3p	184	78	13	12	27	80	4	4	32	18	10	28	31	23	64	37	43	1	37	5	18	16	36			72	42	582	176	25	40		74		23
hsa-miR-135a-3p	1																																		
hsa-miR-135a-5p	7783	191	63	76	134	327	56	123	115	129	8	96	189	137	267	218	224	3	239	73	242	70	366	17	21	591	299	3739	592	151	312	41	99	1	207
hsa-miR-135b-3p					1		5			4		5		3	1		6									3		3							
hsa-miR-135b-5p	289	81	353	161	1183	336	973	395	211	169	118	166	333	897	877	263	2277	13	438	305	191	174	323	712	250	1116	263	387	894	215	27	96	239	60	300
hsa-miR-136-3p	10102			3	1	4							2			2			10				10	1			11		18						
hsa-miR-136-5p	864				2											1	6																		
hsa-miR-137-3p	2962																																		
hsa-miR-137-5p	39																																		
hsa-miR-138-1-3p	283			7	3		11							3	5	1	29		2		2					14		2	6	1					
hsa-miR-138-2-3p	705					7									2	1			8									10		6					
hsa-miR-138-5p	5347		3	18	12	3	12		19	13			4	1	38		37		13		7		18	26		39			14	15	62				8
hsa-miR-139-3p	3453					1																													
hsa-miR-139-5p	85441		1	56		15	11	4	5	1	6		9	3	13	4	17	2	12	16	2	14	28	2		33	3	1	6				2		
hsa-miR-140-3p	16913	132	163	376	647	386	496	424	305	163	18	251	253	546	1403	303	683	15	830	139	152	113	928	211	134	1674	189	3180	1533	219	307	96	434	1	149
hsa-miR-140-5p	2850		15	32	35	44	3		12	23	5	6	24	34	78	38	64	2	39	7	31	4	59	27	6	125		111	95	22	14		8		25
hsa-miR-141-3p		321	497	706	1608	1050	1401	630	388	313	226	508	699	3698	3107	1194	5168	22	1445	906	1264	617	2733	779	272	4377	1144	6717	2777	760	261	404	1128	58	711
hsa-miR-141-5p			1		4	4	15					3	4	6	3		30	1	6				21			12		41					11		
hsa-miR-142-3p	347			30			82			25				5						2	15	12	2					10	82	57		30			18
hsa-miR-142-5p	1395			80		12	267	6	19	47		17	9	4		1	3			4	50	29			5	13		11	91	68		103	76		17
hsa-miR-143-3p	614747	2	10	174	7	522	1156	89	98	428	1	37	23	59	26	22	19	16	24	30	222	129	23	33	14	525		46	630	359	262	492	126	102	76
hsa-miR-143-5p	261																																		
hsa-miR-144-3p	576					24															12												136		
hsa-miR-144-5p	939																8				25								16				28		
hsa-miR-145-3p	2828			3			24														2														
hsa-miR-145-5p	7410			4		8	3			10									7		10			8					4	12		42			
hsa-miR-1468-5p	228		34	27	18	12	12	7	32	2		27	26	28	46	23	20		50	14	7	2	10	10		59	8	79	69	5	75				1
hsa-miR-1469										7						2																			
hsa-miR-146a-3p	7										3															4			5						
hsa-miR-146a-5p	5109		49	238	62	160	51	93	57	36	735	76	94	1187	177	38	91	3	133	51	151	145	327	47	13	228	7	102	169	375	83	80	1288	1	24
hsa-miR-146b-3p	527			16	5	8		12	14	8		5	5	3	33		16	2	3	4		19		10		29		17	14						
hsa-miR-146b-5p	36089	136	158	275	294	397	336	399	390	204	43	235	275	299	868	153	550	20	567	147	229	145	597	93	51	1021	132	966	886	106	411	181	571	1	141
hsa-miR-147b-3p														5								7													
hsa-miR-147b-5p																																1			
hsa-miR-148a-3p	3286	1194	830	1398	2101	1453	1790	2320	1122	727	245	1008	1100	2571	3921	2936	5102	67	3167	1220	1137	733	2844	1088	616	7033	2466	29801	5328	954	963	1348	1459	201	970
hsa-miR-148a-5p	20		10	16	37	21	4	36	18	5	1	26	10	26	50	30	50	9	41	1			6	7		100	30	625	36	15	11		27		
hsa-miR-148b-3p	15120	87	71	124	211	200	340	189	177	105	33	138	205	279	690	199	452	13	333	141	92	127	798	84	62	759	174	2178	639	145	219	92	471	1	77
hsa-miR-148b-5p	295			3	7	5	12			2			2	10	36	5	34		21	5	22		33			36	9	58	41		17		32		21
hsa-miR-149-3p	26		2			1				5			2	2	3	1	1	1	24								16	39					28		
hsa-miR-149-5p	20185	125	154	65	320	249	327	158	221	99	48	175	191	322	256	139	292	10	294	63	56	119	533	125	57	483	462	3058	400	307	99	44	309	15	52
hsa-miR-150-3p	4																													3					
hsa-miR-150-5p	3363					12	17	1					1		3	3					18	3		2		7		9	10	21	37	19		8	
hsa-miR-151a-3p	37070	460	829	1135	1968	1311	1744	1947	968	652	327	872	1195	2181	4229	1171	3642	36	3086	751	778	670	3017	912	443	5303	1175	6310	4289	812	1089	841	1852	149	686
hsa-miR-151a-5p	134106	1110	1796	2054	4287	2752	3020	2766	1593	1092	663	1803	2304	4642	7819	2113	8251	85	4686	1805	2102	1381	6343	2396	967	11036	2109	11418	7296	2041	1778	919	3577	343	1363
hsa-miR-151b	7996	85	145	130	319	204	95	147	100	53	29	91	169	340	550	132	638	6	192	96	210	82	290	198	55	734	95	844	552	110	89	4	296	3	122
hsa-miR-152-3p	3320	148	73	144	192	126	197	256	129	189	73	81	98	320	568	145	328	9	414	107	94	80	219	183	26	708	113	695	508	54	113	116	168		144
hsa-miR-152-5p	15																											2							
hsa-miR-153-3p	2230			3	2	2		4		9	8	10		7	5	8				10	9	10				4	8	39	6					22	
hsa-miR-153-5p	93														4																				
hsa-miR-1537-3p																												8							
hsa-miR-1537-5p															6																				
hsa-miR-154-3p	877			1	3								2															5							
hsa-miR-154-5p	90																																		
hsa-miR-155-5p	1520	59	11	15	15	21	45	6	10	26		1	15	21	31	194	7		20	14	27	35	89	5		201	15	6981	94	3	41				5
hsa-miR-15a-5p	3306	26	14	38	43	33	99	11		10	33	7	7	64	63	10	82	1	27	5	32	16	72			62	6	187	85	26	34	1	44		9
hsa-miR-15b-3p	193		4	9	40	22	10	9	6	4		2	16	22	19	5	29	1	26	1	9			35	14	22		53	17	12					
hsa-miR-15b-5p	5451	104	96	143	414	212	382	292	93	107	22	153	151	396	414	168	639	3	288	123	316	91	343	152	48	771	109	999	779	95	5	136	488	15	90
hsa-miR-16-1-3p	18												2																						
hsa-miR-16-2-3p	655		106	81	187	76	267	67	57	67	15	44	70	162	247	67	304		176	70	76	18	83	43	38	340	39	235	122	40	2	16	259	7	27
hsa-miR-16-5p	76163	281	303	468	1257	551	1246	461	236	246	145	320	441	1638	2084	698	2474	20	838	432	810	422	1401	714	166	3075	335	3636	1883	571	455	422	1199	54	545
hsa-miR-17-3p	93			11	10								4		16		3		3			3	2			27		11	21						
hsa-miR-17-5p	1326	90	38	77	139	86	13	69	43	27	3	44	53	109	174	60	204		117	75	25	12	126	27	37	299	79	562	176	40		41	78		15
hsa-miR-181a-2-3p	3020	48	97	144	374	165	200	277	62	54		159	135	283	423	68	516	4	248	101	94	79	177	39	4	710	106	339	480	46	24	79	286		43
hsa-miR-181a-3p	1946			11	4	13				1			18	3	13	3	6		4	3	1	14	7	16		15		27					44		
hsa-miR-181a-5p	693493	298	575	933	1816	1666	2504	1729	1185	617	320	643	1046	2291	3919	692	3918	84	1724	863	1232	602	3534	701	381	4177	919	2571	4874	734	2197	849	1458	108	929
hsa-miR-181b-2-3p				5		3	17							6	10	4	17									1					36				
hsa-miR-181b-3p	176	24					1		4														14			4									
hsa-miR-181b-5p	139399	110	174	387	684	382	901	382	320	201	67	250	208	629	979	169	1096	7	507	136	256	92	733	170	200	1053	169	502	1146	148	443	301	394	27	149
hsa-miR-181c-3p	1293				1									25	5	3	3		24	8								10							
hsa-miR-181c-5p	7390	31	11	17	31	11	17	8		8		22	17	32	66	15	57		50	2	7	10	10	2		90	4	32	7		77		39		37
hsa-miR-181d-3p																			5																
hsa-miR-181d-5p	3999	22	8	10	15	8	32	13		2	7		19	47	40	9	38	1	35	5	4	11	8	1		32		31	26	2	41		15		40
hsa-miR-182-3p																										2		16							
hsa-miR-182-5p	701	443	1228	1559	2286	1043	2704	1822	841	359	400	866	1101	2661	3452	1427	5673	42	3212	889	934	858	2901	1578	520	2372	711	9473	4412	510	394	678	1172	415	407
hsa-miR-1827	3												1										1						1			1			
hsa-miR-183-3p				5	18		29	31	4				1	8	13	1	17		14	14		13	4			8		22	50						
hsa-miR-183-5p	208	217	606	785	1051	611	1344	939	313	237	284	448	641	1360	1797	700	2781	28	1513	430	341	497	1952	783	257	1358	450	3839	2087	350	166	225	573	34	441
hsa-miR-184	660	192	121	77	74	49	62	723	67	323	105	400	89	46	347	359	66	55	136	310	168	254	242	218	227	138	37	123	215	171	189	1265	28	551	847
hsa-miR-1843	819		9	8	3	8		30	24	3	1		8	12		21	17		3	12	5	7				15	1	17	30	4	7				
hsa-miR-185-3p	152		2		6	2			5								1		2		4					21		25							
hsa-miR-185-5p	6751	64	33	140	99	114	121	108	118	95	13	47	142	155	169	94	251	6	220	37	131	67	295	78	43	282	42	620	271	43	86		322	2	26
hsa-miR-186-3p	17														1																				
hsa-miR-186-5p	17531	210	373	580	898	847	758	476	345	289	189	402	892	1498	1946	660	1914	50	1405	573	612	318	2702	404	244	3074	744	4944	3072	583	821	400	1052	100	321
hsa-miR-187-3p	72		11	28	25	20	24	30	10	6	5	5	42	14	31	8	122		58	19	1		104	25		54	6	70	63	1	12	28			
hsa-miR-187-5p			8	17	3	11	24	32					8	10		3	33			6	13	4	49			3		47	8			1			
hsa-miR-188-3p				5	2								3				6											6							
hsa-miR-188-5p	4		5	3	6	11			11	2			2	22	9	6	1		29	6	13	7	43			16	8	18	6						
hsa-miR-18a-3p	95			1	3	4	5		14				4	11	8		7		3				39			15		6	9	9					
hsa-miR-18a-5p	116		4	4	6	6	1	10					6	21		5	10				7	1				12		43	19						
hsa-miR-18b-3p																										4	9								
hsa-miR-18b-5p	19						1							17		5	1																		
hsa-miR-1908-3p																																	34		
hsa-miR-1908-5p	571												12		2	4												49							
hsa-miR-1909-3p				5																															
hsa-miR-1909-5p	13																																		
hsa-miR-190a-3p	2			5	3	1							2	5			20				4			16		1			2						
hsa-miR-190a-5p	1009	17	52	43	182	44	39	49	20	21	27	7	64	163	205	83	285	7	106	36	27	15	125	104	14	264	20	70	185	7	75	33	1	1	35
hsa-miR-190b-5p	8				4										13		1				4		1					3	5						
hsa-miR-191-3p	199		2	9	6	2	9		4	6			2		20		21		17		4	4				14	19	44	19	8	2			39	9
hsa-miR-191-5p	114806	1235	2950	4758	5482	5603	6901	5652	3146	1643	1611	2514	3671	9643	11669	3435	13818	112	8026	3153	2839	1979	12761	2716	1415	14735	5209	23389	14353	3731	5791	2911	6157	356	2114
hsa-miR-1910-3p	13																												7						
hsa-miR-1910-5p																							6												
hsa-miR-1912-3p	79																																		
hsa-miR-1912-5p	40																																		
hsa-miR-1913																	1																		
hsa-miR-1914-3p	5																																		
hsa-miR-1914-5p	5			3																	3														
hsa-miR-1915-3p					5			1		9	1						3								1								13		
hsa-miR-192-3p				3	4	2						7					7				1										49		57		
hsa-miR-192-5p	1044	225	769	1477	940	3098	886	1076	2549	1584	115	868	1860	1332	3533	378	2704	67	1593	471	1948	1020	3747	347	172	4571	589	1164	5318	1270	3413	560	2713	9	1401
hsa-miR-193a-3p			1		2									13									11			5		15							
hsa-miR-193a-5p	1025	115	88	134	228	151	357	277	84	63	13	122	84	287	341	163	481	12	285	60	63	80	203	115	50	564	103	1268	301	69	45	107	263		60
hsa-miR-193b-3p	302	34	31	14	37	21	21	13	36	6	10	10	24	29	23	14	48	2	44	19	2		28	3	3	15	30	179	69	36			13		26
hsa-miR-193b-5p	99		2	8	9	17	7	7	2	1		24	25	24	27	3	26	1	33	19	4		4	27		30	16	56	16	5	2			21	1
hsa-miR-194-3p	59		3	20	10	17	1	22	36	11			6	8	12	3	40	1	17	2	12	28	7			31	13	21	45	23	39			11	
hsa-miR-194-5p	1141	152	364	1075	709	1978	772	604	1343	1445	102	565	1646	1107	2597	275	2369	50	1139	412	1609	812	3411	304	269	3947	410	1063	4561	1124	2767	603	1951	14	892
hsa-miR-195-3p	241			3			5		6			6			9		4		8	3	1		3					133	2						
hsa-miR-195-5p	14769		8	1	5	21	13	25		1		24	6	27	17	16	25		8	6	3	9	13	1	4	128	50	1321	38	4					33
hsa-miR-196a-1-3p				4					4				1	3	5	6	2				8					5			15						
hsa-miR-196a-3p														2	2							1													
