name	unique reads 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (mult. map. adj.)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(lib)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(total)	coordinateString 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (lib)	180626-180628-190531_Brain_S32 (total)
hsa-mir-125b-2	762.0	176677.0	91815.0	19493.766919967835	16955.250545239367	21:hsa;hsa-mir-125b-2,16590237,16590325,+	10130.465254429533	8811.256297147635
hsa-mir-125b-1	654.0	171372.0	86510.0	18908.436438295463	16446.142941292648	11:hsa;hsa-mir-125b-1,122099757,122099844,-	9545.134772757163	8302.148693200914
hsa-mir-125a	679.0	148002.0	148002.0	16329.892921484286	14203.382393840267	19:hsa;hsa-mir-125a,51693254,51693339,+	16329.892921484286	14203.382393840267
hsa-let-7c	566.0	145843.0	144678.78333333344	16091.678310752779	13996.188554646871	21:hsa;hsa-let-7c,16539828,16539911,+	15963.22373916542	13884.461588079208
hsa-mir-124-2	623.0	134371.0	44818.53333333355	14825.908040112736	12895.24935908103	8:hsa;hsa-mir-124-2,64379149,64379257,+	4945.080811281679	4301.122736614458
hsa-mir-124-1	618.0	134341.0	44790.50000000022	14822.597971413363	12892.370333988023	8:hsa;hsa-mir-124-1,9903388,9903472,-	4941.987735974822	4298.432447610881
hsa-mir-124-3	617.0	134324.0	44773.50000000022	14820.722265817052	12890.73888643532	20:hsa;hsa-mir-124-3,63178500,63178586,+	4940.11203037851	4296.801000058177
hsa-mir-98	389.0	97970.0	97066.95000000001	10809.581015917458	9401.93627872955	X:hsa;hsa-mir-98,53556223,53556341,-	10709.94243128518	9315.27282505489
hsa-mir-219a-2	471.0	91490.0	91440.83333333334	10094.606176852998	8780.066858640059	9:hsa;hsa-mir-219a-2,128392618,128392714,-	10089.181342040138	8775.3484564043
hsa-let-7i	439.0	89059.0	88887.5	9826.380276580512	8546.7698586034	12:hsa;hsa-let-7i,62603686,62603769,+	9807.457717182433	8530.31143182171
hsa-mir-181b-2	702.0	85490.0	43464.50000000002	9432.592436978497	8204.261840038678	9:hsa;hsa-mir-181b-2,124693710,124693798,+	4795.682699462535	4171.179538499957
hsa-mir-7-2	413.0	84666.0	29555.999999999854	9341.675883369067	8125.184617484088	15:hsa;hsa-mir-7-2,88611825,88611934,+	3261.0796826217697	2836.4155216303893
hsa-mir-181b-1	671.0	84081.0	42055.50000000002	9277.129543731302	8069.043628170454	1:hsa;hsa-mir-181b-1,198858873,198858982,-	4640.21980621534	4035.9613266317324
hsa-mir-7-1	402.0	83722.0	28571.499999999854	9237.519054962146	8034.591294557472	9:hsa;hsa-mir-7-1,83969748,83969857,-	3152.4542614706957	2741.935514828213
hsa-mir-7-3	380.0	82996.0	27845.499999999854	9157.415392437331	7964.918887306704	19:hsa;hsa-mir-7-3,4770670,4770779,+	3072.3505989458813	2672.2631075774457
hsa-mir-103a-2	456.0	81482.0	40322.33333333346	8990.367258742332	7819.624087612956	20:hsa;hsa-mir-103a-2,3917494,3917571,+	4448.989781744382	3869.6336491751936
hsa-mir-103a-1	443.0	81204.0	40044.33333333346	8959.69395546148	7792.945121751092	5:hsa;hsa-mir-103a-1,168560896,168560973,-	4418.31647846353	3842.9546833133295
hsa-let-7e	470.0	78036.0	76922.75	8610.150700807744	7488.920071929562	19:hsa;hsa-let-7e,51692786,51692864,+	8487.319568155197	7382.084249103232
hsa-mir-92a-1	482.0	76664.0	39955.666666666664	8458.770225623108	7357.2526576760465	13:hsa;hsa-mir-92a-1,91351314,91351391,+	4408.533386529814	3834.445564705097
hsa-mir-92a-2	432.0	73776.0	37067.666666666664	8140.120945496849	7080.098508722582	X:hsa;hsa-mir-92a-2,134169538,134169612,-	4089.884106403555	3557.291415751632
hsa-mir-100	378.0	71295.0	71254.5	7866.378264058743	6842.003133530911	11:hsa;hsa-mir-100,122152229,122152308,-	7861.909671314591	6838.116449655352
hsa-mir-151a	488.0	70940.0	70008.0	7827.209117782836	6807.93466993033	8:hsa;hsa-mir-151a,140732564,140732653,-	7724.376316855663	6718.492957040915
hsa-mir-487b	400.0	68551.0	68551.0	7563.617313689472	6578.668305023879	14:hsa;hsa-mir-487b,101046455,101046538,+	7563.617313689472	6578.668305023879
hsa-mir-26b	333.0	67791.0	67759.00000000001	7479.762239972036	6505.733002667705	2:hsa;hsa-mir-26b,218402646,218402722,+	7476.2315000260405	6502.662042568499
hsa-mir-24-1	442.0	59950.0	30393.0	6614.620617579377	5753.251810858799	9:hsa;hsa-mir-24-1,95086021,95086088,+	3353.4305993342787	2916.740321725296
hsa-mir-21	412.0	59303.0	59303.0	6543.233469296243	5691.16083635295	17:hsa;hsa-mir-21,59841266,59841337,+	6543.233469296243	5691.16083635295
hsa-mir-24-2	404.0	59241.0	29684.0	6536.392660650874	5685.210851160737	19:hsa;hsa-mir-24-2,13836287,13836359,-	3275.2026424057754	2848.699362027233
hsa-mir-29a	472.0	58828.0	58811.33333333333	6490.824048222846	5645.576272380341	7:hsa;hsa-mir-29a,130876747,130876810,-	6488.985121167638	5643.976813995337
hsa-mir-23b	474.0	56039.0	55983.0	6183.097994804516	5377.922906233799	9:hsa;hsa-mir-23b,95085208,95085304,+	6176.91919989902	5372.548726060187
hsa-mir-99a	420.0	53555.0	53514.5	5909.0243064964725	5139.539628532828	21:hsa;hsa-mir-99a,16539089,16539169,+	5904.55571375232	5135.652944657269
hsa-mir-191	353.0	52102.0	52102.0	5748.706645823531	5000.0988465281935	3:hsa;hsa-mir-191,49020618,49020709,-	5748.706645823531	5000.0988465281935
hsa-let-7d	412.0	51456.0	50079.25	5677.42983316371	4938.1038395254445	9:hsa;hsa-let-7d,94178834,94178920,+	5525.525263768341	4805.9805796322025
hsa-mir-139	430.0	45259.0	45259.0	4993.679975496664	4343.393222813318	11:hsa;hsa-mir-139,72615063,72615130,-	4993.679975496664	4343.393222813318
hsa-mir-338	293.0	43781.0	43781.0	4830.603924240912	4201.553253231178	17:hsa;hsa-mir-338,81125883,81125949,-	4830.603924240912	4201.553253231178
hsa-mir-99b	400.0	42133.0	42133.0	4648.77081702205	4043.398808121998	19:hsa;hsa-mir-99b,51692612,51692681,+	4648.77081702205	4043.398808121998
hsa-mir-126	379.0	41427.0	41427.0	4570.873866963484	3975.645750933236	9:hsa;hsa-mir-126,136670602,136670686,+	4570.873866963484	3975.645750933236
hsa-mir-129-1	373.0	39050.0	20484.5	4308.606090349869	3747.530996063989	7:hsa;hsa-mir-129-1,128207872,128207943,+	2260.1700757431986	1965.8463172566653
hsa-mir-129-2	364.0	38308.0	19742.5	4226.737057852056	3676.3231087636177	11:hsa;hsa-mir-129-2,43581394,43581483,+	2178.3010432453852	1894.6384299562944
hsa-mir-423	484.0	37610.0	37610.0	4149.7227927799895	3609.337791599657	17:hsa;hsa-mir-423,30117079,30117172,+	4149.7227927799895	3609.337791599657
hsa-mir-132	397.0	36725.0	36725.0	4052.075766148501	3524.4065513559535	17:hsa;hsa-mir-132,2049908,2050008,-	4052.075766148501	3524.4065513559535
hsa-mir-16-2	287.0	36626.0	18528.666666666664	4041.1525394405717	3514.9057685490307	3:hsa;hsa-mir-16-2,160404745,160404825,+	2044.3719858146633	1778.1498757764648
hsa-mir-16-1	267.0	36244.0	18146.666666666664	3999.0043313352285	3478.2461823647427	13:hsa;hsa-mir-16-1,50048973,50049061,-	2002.2237777093203	1741.4902895921769
hsa-mir-30e	458.0	36152.0	35963.0	3988.853453990486	3469.4171720795216	1:hsa;hsa-mir-30e,40754355,40754446,+	3968.0000211844394	3451.279313993578
hsa-mir-30c-2	265.0	33606.0	17163.5	3707.938957037073	3225.0839091863354	6:hsa;hsa-mir-30c-2,71376960,71377031,-	1893.7454707226627	1647.1382394608008
hsa-mir-30c-1	258.0	33014.0	16571.5	3642.6202680361225	3168.2711473509994	1:hsa;hsa-mir-30c-1,40757284,40757372,+	1828.4267817217121	1590.3254776254646
hsa-mir-379	261.0	32496.0	32496.0	3585.466415160291	3118.55998074508	14:hsa;hsa-mir-379,101022066,101022132,+	3585.466415160291	3118.55998074508
hsa-mir-22	194.0	31172.0	31172.0	3439.382049894651	2991.4990066403752	17:hsa;hsa-mir-22,1713903,1713987,-	3439.382049894651	2991.4990066403752
hsa-mir-340	288.0	30982.0	30982.0	3418.4182814652922	2973.2651810513316	5:hsa;hsa-mir-340,180015303,180015397,-	3418.4182814652922	2973.2651810513316
hsa-mir-92b	361.0	29200.0	29192.666666666664	3221.8002007225655	2802.2510905267213	1:hsa;hsa-mir-92b,155195177,155195272,+	3220.9910728182745	2801.5473288373196
hsa-mir-451a	190.0	27604.0	27604.0	3045.7045459159485	2649.086955578754	17:hsa;hsa-mir-451a,28861369,28861440,-	3045.7045459159485	2649.086955578754
hsa-mir-221	374.0	25805.0	25805.0	2847.210759576911	2476.44141750144	X:hsa;hsa-mir-221,45746157,45746266,-	2847.210759576911	2476.44141750144
hsa-mir-101-2	279.0	25319.0	12731.0	2793.587646647077	2429.801210994728	9:hsa;hsa-mir-101-2,4850297,4850375,+	1404.682820390376	1221.7622819690305
hsa-mir-101-1	280.0	25215.0	12627.0	2782.112741822585	2419.820590672304	1:hsa;hsa-mir-101-1,65058434,65058508,-	1393.2079155658848	1211.7816616466066
hsa-mir-320a	320.0	24581.0	23790.299999999996	2712.1599566425134	2358.977193706758	8:hsa;hsa-mir-320a,22244966,22245037,-	2624.917579289385	2283.095689005406
hsa-mir-218-1	258.0	22286.0	11248.5	2458.939701140517	2138.7317740917297	4:hsa;hsa-mir-218-1,20528275,20528384,+	1241.1102588297185	1079.4904586229393
hsa-mir-218-2	243.0	22077.0	11039.5	2435.879555868222	2118.6745659437815	5:hsa;hsa-mir-218-2,168768146,168768255,-	1218.0501135574234	1059.4332504749912
hsa-mir-146b	191.0	20352.0	20352.0	2245.550605654303	1953.1306230958846	10:hsa;hsa-mir-146b,102436512,102436584,+	2245.550605654303	1953.1306230958846
hsa-mir-10b	210.0	20029.0	20014.5	2209.9121993243925	1922.1331195945104	2:hsa;hsa-mir-10b,176150303,176150412,+	2208.3123327863627	1920.7415907995571
hsa-mir-10a	221.0	17271.0	17256.5	1905.6065502287477	1657.4547460440756	17:hsa;hsa-mir-10a,48579838,48579947,-	1904.0066836907176	1656.063217249122
hsa-mir-323a	180.0	16753.0	16743.5	1848.4526973529157	1607.7435794381563	14:hsa;hsa-mir-323a,101025732,101025817,+	1847.404508931448	1606.831888158704
hsa-mir-222	261.0	16027.0	16027.0	1768.3490348281014	1538.0711721873893	X:hsa;hsa-mir-222,45747015,45747124,-	1768.3490348281014	1538.0711721873893
hsa-mir-23a	193.0	15770.0	15746.0	1739.9927796368102	1513.40752389063	19:hsa;hsa-mir-23a,13836587,13836659,-	1737.3447246773123	1511.1043038162245
hsa-mir-93	192.0	14684.0	14684.0	1620.1682927195259	1409.18681552378	7:hsa;hsa-mir-93,100093768,100093847,-	1620.1682927195259	1409.18681552378
hsa-mir-204	193.0	14441.0	14433.5	1593.3567362546087	1385.8667122704242	9:hsa;hsa-mir-204,70809975,70810084,-	1592.5292190797654	1385.1469559971724
hsa-mir-95	141.0	14399.0	14399.0	1588.722640075487	1381.8360771402145	4:hsa;hsa-mir-95,8005301,8005381,-	1588.722640075487	1381.8360771402145
hsa-mir-335	170.0	14074.0	14074.0	1552.8635624989518	1350.6466386326397	7:hsa;hsa-mir-335,130496111,130496204,+	1552.8635624989518	1350.6466386326397
hsa-mir-369	121.0	12654.0	12654.0	1396.1869773953201	1214.3727842303128	14:hsa;hsa-mir-369,101065598,101065667,+	1396.1869773953201	1214.3727842303128
hsa-mir-433	169.0	12256.0	12256.0	1352.2733993169782	1176.177717996421	14:hsa;hsa-mir-433,100881886,100881978,+	1352.2733993169782	1176.177717996421
hsa-mir-382	181.0	12076.0	12076.0	1332.4129871207433	1158.9035674383797	14:hsa;hsa-mir-382,101054306,101054381,+	1332.4129871207433	1158.9035674383797
hsa-mir-329-1	237.0	12059.0	6029.5	1330.537281524432	1157.2721198856757	14:hsa;hsa-mir-329-1,101026785,101026864,+	665.268640762216	578.6360599428378
hsa-mir-329-2	237.0	12059.0	6029.5	1330.537281524432	1157.2721198856757	14:hsa;hsa-mir-329-2,101027100,101027183,+	665.268640762216	578.6360599428378
hsa-mir-411	165.0	11331.0	11331.0	1250.212947752993	1087.4077776287081	14:hsa;hsa-mir-411,101023325,101023420,+	1250.212947752993	1087.4077776287081
hsa-mir-495	133.0	10939.0	10939.0	1206.9613834145255	1049.788516413418	14:hsa;hsa-mir-495,101033755,101033836,+	1206.9613834145255	1049.788516413418
hsa-mir-140	285.0	10795.0	10795.0	1191.0730536575375	1035.969195966985	16:hsa;hsa-mir-140,69933081,69933180,+	1191.0730536575375	1035.969195966985
hsa-mir-342	212.0	10235.0	10235.0	1129.2851046025842	982.2273942308559	14:hsa;hsa-mir-342,100109655,100109753,+	1129.2851046025842	982.2273942308559
hsa-mir-330	241.0	10127.0	10127.0	1117.3688572848432	971.8629038960311	19:hsa;hsa-mir-330,45638994,45639087,-	1117.3688572848432	971.8629038960311
hsa-mir-1-2	92.0	9916.0	5038.0	1094.0880407659233	951.6137607418825	18:hsa;hsa-mir-1-2,21829004,21829088,-	555.8708702479549	483.48428061895964
hsa-mir-1-1	89.0	9759.0	4881.0	1076.7653479058738	936.5468627551463	20:hsa;hsa-mir-1-1,62554306,62554376,+	538.5481773879055	468.4173826322235
hsa-mir-361	199.0	9610.0	9610.0	1060.3253400323238	922.247704793212	X:hsa;hsa-mir-361,85903636,85903707,-	1060.3253400323238	922.247704793212
hsa-mir-149	148.0	9343.0	9343.0	1030.8657286079085	896.6243814654506	2:hsa;hsa-mir-149,240456001,240456089,+	1030.8657286079085	896.6243814654506
hsa-mir-409	161.0	9069.0	9069.0	1000.6337678203064	870.3292856159875	14:hsa;hsa-mir-409,101065300,101065378,+	1000.6337678203064	870.3292856159875
hsa-mir-485	164.0	9044.0	9044.0	997.875377237496	867.9300980384818	14:hsa;hsa-mir-485,101055419,101055491,+	997.875377237496	867.9300980384818
hsa-mir-27a	148.0	8883.0	8594.5	980.1113418841969	852.4793300393447	19:hsa;hsa-mir-27a,13836440,13836517,-	948.2795145585648	824.7927053949284
hsa-mir-25	143.0	8057.0	8057.0	888.9741170281408	773.2101724785546	7:hsa;hsa-mir-25,100093560,100093643,-	888.9741170281408	773.2101724785546
hsa-mir-29b-2	151.0	8011.0	4321.166666666666	883.8986783557697	768.795667335944	1:hsa;hsa-mir-29b-2,207802443,207802523,-	476.77861760350424	414.6915754799446
hsa-mir-29b-1	133.0	7570.0	3880.166666666667	835.2406684749939	726.4739984687425	7:hsa;hsa-mir-29b-1,130877459,130877539,-	428.1206077227286	372.3699066127432
hsa-mir-370	133.0	7252.0	7252.0	800.1539402616454	695.9563324828692	14:hsa;hsa-mir-370,100911139,100911213,+	800.1539402616454	695.9563324828692
hsa-mir-195	119.0	6957.0	6951.666666666666	767.6049313844825	667.6459190683014	17:hsa;hsa-mir-195,7017615,7017701,-	767.0164747268162	667.1340923851001
hsa-mir-584	119.0	6934.0	6934.0	765.0672120482969	665.4386664969961	5:hsa;hsa-mir-584,149062313,149062409,-	765.0672120482969	665.4386664969961
hsa-mir-186	102.0	6871.0	6871.0	758.1160677796147	659.3927138016816	1:hsa;hsa-mir-186,71067631,71067716,-	758.1160677796147	659.3927138016816
hsa-mir-769	143.0	6714.0	6714.0	740.7933749195653	644.3258158149455	19:hsa;hsa-mir-769,46018932,46019049,+	740.7933749195653	644.3258158149455
hsa-mir-432	141.0	6525.0	6525.0	719.9399421135186	626.1879577290019	14:hsa;hsa-mir-432,100884483,100884576,+	719.9399421135186	626.1879577290019
hsa-mir-885	100.0	6312.0	6312.0	696.4384543479738	605.746879568653	3:hsa;hsa-mir-885,10394489,10394562,-	696.4384543479738	605.746879568653
hsa-mir-127	162.0	6190.0	6190.0	682.9775083038589	594.0388441904248	14:hsa;hsa-mir-127,100882979,100883075,+	682.9775083038589	594.0388441904248
hsa-mir-543	108.0	6149.0	6149.0	678.4537477480499	590.1041765633154	14:hsa;hsa-mir-543,101031987,101032064,+	678.4537477480499	590.1041765633154
hsa-mir-425	165.0	6114.0	6114.0	674.5920009321153	586.7453139548073	3:hsa;hsa-mir-425,49020148,49020234,-	674.5920009321153	586.7453139548073
hsa-mir-374b	104.0	6064.0	5995.5	669.0752197664945	581.9469387997958	X:hsa;hsa-mir-374b,74218547,74218618,-	661.517229569594	575.3731648374301
hsa-mir-375	107.0	5866.0	5866.0	647.228766350636	562.9453731859503	2:hsa;hsa-mir-375,219001645,219001708,-	647.228766350636	562.9453731859503
hsa-mir-652	114.0	5853.0	5853.0	645.7944032475746	561.6977956456473	X:hsa;hsa-mir-652,110055329,110055426,+	645.7944032475746	561.6977956456473
hsa-mir-145	129.0	5809.0	5809.0	640.9396358218282	557.4752255092371	5:hsa;hsa-mir-145,149430646,149430733,+	640.9396358218282	557.4752255092371
hsa-mir-1180	109.0	5468.0	5468.0	603.3151882722941	524.7503069520586	17:hsa;hsa-mir-1180,19344506,19344574,-	603.3151882722941	524.7503069520586
hsa-mir-136	109.0	5133.0	5133.0	566.3527544626346	492.60119341348155	14:hsa;hsa-mir-136,100884702,100884783,+	566.3527544626346	492.60119341348155
hsa-mir-3613	39.0	5095.0	5095.0	562.1600007767628	488.9544282956728	13:hsa;hsa-mir-3613,49996415,49996501,-	562.1600007767628	488.9544282956728
hsa-mir-29c	128.0	5081.0	5068.333333333333	560.6153020503889	487.61088325226956	1:hsa;hsa-mir-29c,207801852,207801939,-	559.2177174884316	486.3952948796666
hsa-mir-598	89.0	5079.0	5079.0	560.394630803764	487.4189482460691	8:hsa;hsa-mir-598,11035206,11035302,-	560.394630803764	487.4189482460691
hsa-mir-107	144.0	5060.0	2830.0000000000077	558.2982539608281	485.5955656871647	10:hsa;hsa-mir-107,89592747,89592827,-	312.2498139741399	271.58803377365217
hsa-mir-148b	104.0	4699.0	4684.5	518.4670939450458	450.9512970679816	12:hsa;hsa-mir-148b,54337216,54337314,+	516.8672274070157	449.5597682730283
hsa-mir-328	98.0	4609.0	4609.0	508.53688784692827	442.31422178896094	16:hsa;hsa-mir-328,67202321,67202395,-	508.53688784692827	442.31422178896094
hsa-mir-200c	91.0	4595.0	4594.0	506.99218912055443	440.9706767455577	12:hsa;hsa-mir-200c,6963699,6963766,+	506.881853497242	440.87470924245747
hsa-mir-30b	67.0	4555.0	4555.0	502.57876418805773	437.13197662154846	8:hsa;hsa-mir-30b,134800520,134800607,-	502.57876418805773	437.13197662154846
hsa-mir-200b	124.0	4513.0	4512.0	497.9446680089363	433.1013414913388	1:hsa;hsa-mir-200b,1167104,1167198,+	497.83433238562384	433.0053739882386
hsa-mir-28	77.0	4439.0	4439.0	489.77983188381745	425.9997462619218	3:hsa;hsa-mir-28,188688781,188688866,+	489.77983188381745	425.9997462619218
hsa-mir-181c	100.0	4253.0	4253.0	469.2574059477079	408.14979068527896	19:hsa;hsa-mir-181c,13874699,13874808,+	469.2574059477079	408.14979068527896
hsa-mir-135a-2	62.0	4244.0	2197.833333333333	468.26438533789616	407.2860831573769	12:hsa;hsa-mir-135a-2,97563812,97563911,+	242.49931077013966	210.92057723045588
hsa-mir-135a-1	52.0	4097.0	2050.833333333333	452.04504871097095	393.1788602016431	3:hsa;hsa-mir-135a-1,52294219,52294308,-	226.27997414321442	196.81335427472203
hsa-mir-486-1	91.0	3935.0	1971.0	434.17067773435946	377.6321246994058	8:hsa;hsa-mir-486-1,41660441,41660508,-	217.47151354877317	189.1519486105537
hsa-mir-486-2	90.0	3928.0	1964.0	433.3983283711725	376.9603521777042	8:hsa;hsa-mir-486-2,41660444,41660507,+	216.69916418558626	188.4801760888521
hsa-mir-889	48.0	3810.0	3810.0	420.37872482030735	365.636186811877	14:hsa;hsa-mir-889,101047901,101047979,+	420.37872482030735	365.636186811877
hsa-mir-1301	122.0	3798.0	3798.0	419.0546973405584	364.4845767746742	2:hsa;hsa-mir-1301,25328640,25328721,-	419.0546973405584	364.4845767746742
hsa-mir-197	55.0	3766.0	3766.0	415.523957394561	361.41361667546687	1:hsa;hsa-mir-197,109598893,109598967,+	415.523957394561	361.41361667546687
hsa-mir-744	86.0	3765.0	3765.0	415.41362177124864	361.31764917236666	17:hsa;hsa-mir-744,12081899,12081996,+	415.41362177124864	361.31764917236666
hsa-mir-628	82.0	3248.0	3248.0	358.3701045187292	311.70245006954764	15:hsa;hsa-mir-628,55372940,55373034,-	358.3701045187292	311.70245006954764
hsa-mir-185	89.0	3104.0	3104.0	342.48177476174124	297.8831296231145	22:hsa;hsa-mir-185,20033139,20033220,+	342.48177476174124	297.8831296231145
hsa-mir-203a	73.0	3001.0	3001.0	331.1172055605623	287.99847680379077	14:hsa;hsa-mir-203a,104117405,104117514,+	331.1172055605623	287.99847680379077
hsa-mir-138-1	86.0	2907.0	2419.0	320.7456569691951	278.9775315123691	3:hsa;hsa-mir-138-1,44114212,44114310,+	266.90187279273584	232.14538999945682
hsa-mir-363	65.0	2806.0	2806.0	309.60175901464106	269.2848136992459	X:hsa;hsa-mir-363,134169378,134169452,-	309.60175901464106	269.2848136992459
hsa-mir-15a	55.0	2558.0	2558.0	282.23852443316173	245.4848729303888	13:hsa;hsa-mir-15a,50049119,50049201,-	282.23852443316173	245.4848729303888
hsa-mir-421	90.0	2540.0	2540.0	280.25248321353826	243.75745787458467	X:hsa;hsa-mir-421,74218377,74218461,-	280.25248321353826	243.75745787458467
hsa-mir-374a	55.0	2420.0	2419.5	267.0122084160482	232.24135750255704	X:hsa;hsa-mir-374a,74287286,74287357,-	266.95704060439203	232.19337375100693
hsa-mir-15b	45.0	2400.0	2400.0	264.80549594979993	230.32200744055245	3:hsa;hsa-mir-15b,160404588,160404685,+	264.80549594979993	230.32200744055245
hsa-mir-324	57.0	2382.0	2382.0	262.8194547301764	228.5945923847483	17:hsa;hsa-mir-324,7223297,7223379,-	262.8194547301764	228.5945923847483
hsa-mir-146a	62.0	2362.0	2362.0	260.61274226392806	226.67524232274369	5:hsa;hsa-mir-146a,160485352,160485450,+	260.61274226392806	226.67524232274369
hsa-mir-31	79.0	2342.0	2342.0	258.40602979767976	224.7558922607391	9:hsa;hsa-mir-31,21512115,21512185,-	258.40602979767976	224.7558922607391
hsa-mir-574	59.0	2290.0	2290.0	252.66857738543408	219.7655820995271	4:hsa;hsa-mir-574,38868032,38868127,+	252.66857738543408	219.7655820995271
hsa-mir-656	35.0	2278.0	2278.0	251.34454990568508	218.61397206232436	14:hsa;hsa-mir-656,101066724,101066801,+	251.34454990568508	218.61397206232436
hsa-mir-151b	36.0	2268.0	1336.0	250.2411936725609	217.65429703132205	14:hsa;hsa-mir-151b,100109419,100109514,-	147.40839274538862	128.2125841419075
hsa-mir-539	75.0	2240.0	2240.0	247.15179621981326	214.96720694451562	14:hsa;hsa-mir-539,101047321,101047398,+	247.15179621981326	214.96720694451562
hsa-mir-874	81.0	2238.0	2238.0	246.93112497318842	214.77527193831514	5:hsa;hsa-mir-874,137647572,137647649,-	246.93112497318842	214.77527193831514
hsa-mir-148a	63.0	2137.0	2122.5	235.78722701863435	205.0825541251919	7:hsa;hsa-mir-148a,25949919,25949986,-	234.1873604806043	203.69102533023857
hsa-mir-331	85.0	2126.0	2117.0	234.57353516219777	204.02691159108937	12:hsa;hsa-mir-331,95308420,95308513,+	233.580514552386	203.1632040631873
hsa-mir-1843	48.0	2028.0	1984.0	223.76064407758093	194.6220962872668	1:hsa;hsa-mir-1843,175968370,175968479,-	218.9058766518346	190.39952615085667
hsa-mir-106b	72.0	1994.0	1994.0	220.00923288495875	191.359201181859	7:hsa;hsa-mir-106b,100093993,100094074,-	220.00923288495875	191.359201181859
